DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,named system,Centralized Public Grievance Redressal,named system,11,20,55%,"023 The Department of Administrative Reforms and Public Grievances (DARPG) released the Centralized Public Grievance Redressal and Monitoring System (CPGRAMS) monthly report for December, 2023, which provides a detailed analysis of types an",252292
,named system,Multimodal Large Language Model,named system,11,11,100%,This initiative marks the world's first government-funded Multimodal Large Language Model project focused on creating efficient and inclusive AI in Indian languages,260560
,named system,CBP,named system,10,19,53%,"A two- week Capacity Building Programme (CBP) for Officers of Jammu and Kashmir Administrative Services inaugurated at NCGG, Mussoorie The National Centre for Good Governance (NCGG), an apex-level autonomous institution of the Government of",252236
,named system,Jigyasa,named system,10,30,33%,A quiz competition was organised for school students by CSIR-NIScPR’s flagship outreach programme- JIGYASA,253494
,named system,Bharat New Car Assessment,named system,8,8,100%,"Bharat New Car Assessment Programme (BNCAP): - The Ministry of Road Transport and Highways has inserted a new rule 126E in CMVR (Central Motor Vehicles Rules), 1989 regarding the Bharat New Car Assessment Program (BNCAP)",252096
,named system,CSPAI,named system,7,7,100%,• September 2024: Certified Security Professional in Artificial Intelligence (CSPAI) program was launched,269484
,named system,IndiaAI Compute Capacity,named system,7,7,100%,"This substantial financial infusion, slated over the next five years, is poised to catalyse various components of the IndiaAI Mission, including pivotal initiatives like the IndiaAI Compute Capacity, IndiaAI Innovation Centre (IAIC), IndiaA",254645
,named system,DLT,named system,6,19,32%,"New Enforcement Tools Against Telecom-Based Fraud The committee discussed the requirement of automated exchange of spam and cyber fraud data between Indian Cyber Crime Coordination Centre (I4C), Digital Intelligence Platform of the Departme",273096
,named system,DevOps Engineer,named system,6,6,100%,"0, a total of 34,709 individuals have been trained in AI-related job roles such as Business Intelligence Analyst, Data Scientist, Machine Learning Engineer, and DevOps Engineer, among others",273050
,named system,TIA,named system,6,7,86%,"Trade Intelligence & Digital Portals: Tools such as the Merchandise Imports Monitoring Portal (MIMP) and Trade Intelligence Analytics (TIA) now provide over 200 visualizations and are widely used by the Department of Commerce, Export Promot",272179
,named system,Integrated Emergency Response Management,named system,5,5,100%,"In addition, four independent units fully equipped with modern DNA Profiling tools and techniques have been set-up; Under the Integrated Emergency Response Management System (IERMS) project, 489 railway stations have so far been equipped wi",257870
,named system,RSVC,named system,5,5,100%,"During the meeting, the RuTAGe Smart Village Centres (RSVC) Initiative from the Office of the PSA was also introduced, highlighting a vision to transform villages into economic hubs through the deployment of innovative, affordable, and cont",263458
,named system,Smart Panchayat,named system,5,5,100%,Ministry of Panchayati Raj will put up a Stall for exhibiting ‘Smart Panchayat’ at the Vibrant Gujarat Global Trade Show-2024 during 9th – 12th January 2024 The Ministry of Panchayati Raj will be putting up Stall for exhibiting ‘Smart Panch,252185
,named system,Anna Roy,named system,4,14,29%,"Anna Roy, Programme Director, NITI Aayog, briefed about the National Data Analytics Platform (NDAP) and how it can be used for the analytical purposes and better decision making",262320
,named system,BHASHINI Sahayogi,named system,4,4,100%,dum of Understanding (MoU) under the initiative titled “BHASHINI for Seva / Sanchalan – A BHASHINI Sahayogi Program,286905
,named system,DMF,named system,4,32,12%,"During the event, Shri G Kishan Reddy will also launch the National District Mineral Foundation (DMF) Portal",257035
,named system,Ganga Water Quality Monitoring,named system,4,4,100%,"Some of the interesting problem statements of this year's edition include ‘Enhancing Images of Darker Regions on the Moon’ presented by ISRO, ‘Developing a real-time Ganga Water Quality Monitoring system using AI, satellite data, IoT, and d",263593
,named system,IndiaAI Data Labs,named system,4,4,100%,"com/crf9MCMcJQ — Ministry of Electronics & IT (@GoI_MeitY) March 6, 2025 Additionally, IndiaAI Data Labs are being established in Tier 2 and Tier 3 cities across India to impart foundational level courses",268241
,named system,IndiaAI Startups Global Acceleration,named system,4,4,100%,"The newly introduced initiatives include AIKosha: IndiaAI Datasets Platform, the AI Compute Portal, the AI Competency Framework for Public Sector Officials, iGOT-AI Mission Karmayogi, the IndiaAI Startups Global Acceleration Program with St",268241
,named system,KisanSammanNidhi,named system,4,4,100%,Some initiatives are given below: ‘Kisan e-Mitra’ is a voice-based AI-powered chatbot developed to assist farmers with responses to their queries on the PM KisanSammanNidhi scheme,273123
,named system,SAMPURNA,named system,4,8,50%,"He also highlighted the importance of Project SAMPURNA (System Automation for Procurement, Payment and Uniform Raksha Accounting), which integrates AI, Machine Learning, and Data Science into financial management ushering in a new era of au",270057
,named system,WAVES OTT,named system,4,22,18%,"A few AI-created devotional songs were telecast on the Prasar Bharati network, including the WAVES OTT platform, during Durga Navratri Festival this year",280591
,named system,Climate Smart Cities Assessment,named system,3,3,100%,"Other Key Initiatives of the Smart Cities Mission include: Assessment Frameworks created under the Smart Cities Mission include Ease of Living Index, Municipal Performance Index, Data Maturity Assessment Framework and Climate Smart Cities A",252516
,named system,IOT Hardware,named system,3,4,75%,"0; Providing consultancy (in areas such as IOT Hardware, Software development, data analytics) and incubation support to start- ups including MSMEs",253200
,named system,Indigenous RAN,named system,3,3,100%,"The presentation showcased India's advancements in areas such as indigenous RAN technology, intelligent networks for rural connectivity, and innovative applications across sectors like agriculture, health, and smart cities",260353
,named system,Neer,named system,3,17,18%,"During the session, Bhu-neer portal of CGWA for ground water regulation was e-launched",260017
,named system,Powered Amrit Gyaan Kosh,named system,3,3,100%,"Prime Minister of India Dr V Anantha Nageswaran, Chief Economic Advisor, will deliver a masterclass on enabling an adaptive and entrepreneurial state Dr T V Somnath, Cabinet Secretary, will provide strategic insights on strengthening excell",287190
,named system,Powered Recruitment Rules Generator,named system,3,3,100%,"He will also launch some new IT initiatives undertaken by the Ministry including the AI Powered Recruitment Rules Generator Tool, Mobile App for eHRMS 2",281396
,named system,RAN Massive MIMO,named system,3,3,100%,""", currently focusing on cutting-edge technologies such as Reconfigurable Intelligent Surfaces (RIS) and advanced O-RAN Massive MIMO systems, with the objective of enhancing coverage, capacity, and integrated sensing capabilities in future ",275118
,named system,Text Functionality,named system,3,3,100%,"Additionally, Voice-To-Text Functionality, Chatbot and Integrated Dashboards Boost Accessibility for Elderly and Differently-Abled Consumers",278861
,named system,Web Developer,named system,3,3,100%,"0, the training is imparted in 17 computer related job roles like Web Developer, Software Programmer, Database Administrator, Ai- Data Scientist, AI-Data Engineer, etc",257165
,named system,AIMC,named system,2,2,100%,I am sure that deliberations at this workshop will provide critical insights that will help us in adopting AIMC technology for the enhancement of National Highway construction,266711
,named system,Algorithm Auditing Framework,named system,2,2,100%,"Machine Unlearning (IIT Jodhpur) Synthetic Data Generation (IIT Roorkee) AI Bias Mitigation Strategy (NIT Raipur) Explainable AI Framework (Defence Institute of Advanced Technology, Pune & Minecraft Technologies) Privacy Enhancing Strategie",266691
,named system,DEPA,named system,2,3,67%,"The experts highlighted the need for robust data privacy and consent mechanisms across AI training, inference, and deployment, convergence with the DEPA framework, and the adoption of compliance-by-design architectures to support the global",281319
,named system,INUP,named system,2,4,50%,"Commenting on the industry-academia collaboration, he added, “Under the India AI mission, through the INUP program and other initiatives, startups, entrepreneurs, and researchers are solving real-world problems, driving India to the forefro",269417
,named system,Jayakar,named system,2,2,100%,"Jayakar programme, with support from ISRO, students get exposure to PSLV systems and working models",280989
,named system,Jute SMART,named system,2,2,100%,Regulatory Instructions All stocking entities are required to declare and update jute stock positions fortnightly on the Jute SMART portal ( Entities holding stocks exceeding the prescribed limits must reduce their holdings within 10 days f,282503
,named system,Kumbh Sahayak,named system,2,2,100%,"He said that with user-friendly apps available, even those with limited tech knowledge can utilize them easily, referring to the launch of ‘Kumbh Sahayak’ chatbot, marking the first use of AI and chatbot technology for Kumbh, capable of com",263926
,named system,MDM,named system,2,5,40%,23 PM POSHAN (MDM) 19,264317
,named system,MIDAS,named system,2,2,100%,"○ The aim is to source diverse datasets and develop India-specific AI models ● ARTPARK at IISc Bengaluru : ○ Developed Vaani dataset (16,000 hours of audio across 54 languages, 80 districts) ○ Developed (Medical-Imaging and Information Data",274434
,named system,Mission Guided,named system,2,3,67%,"IndiaAI Mission Guided by the vision of “Making AI in India and Making AI Work for India” , the Cabinet approved the IndiaAI Mission in March 2024, with a budget outlay of ₹10,371",277419
,named system,PAIMANA Web,named system,2,2,100%,"The legacy OCMS portal was revamped and PAIMANA Web portal (Project Assessment, Infrastructure Monitoring and Analytics for Nation Building) was officially launched on 25 September 2025, replacing erstwhile OCMS, contributing significantly ",281413
,named system,RSMS,named system,2,22,9%,"However, owing to challenges associated with satellite-based technology, instead of TBRMS, reservoir data is monitored through the Reservoir Storage Monitoring System (RSMS), which was introduced in 2012 to streamline data entry by project ",279941
,named system,Revamped Defence Exim,named system,2,2,100%,"Revamped Defence Exim portal The portal enables end-to-end application processing, automated company verification, simplified registration, OGEL filing, real-time tracking, and secure payment integration",277166
,named system,SAAR,named system,2,5,40%,"Indian Institute of Management, Bangalore carried out two studies under SAAR - Sameeksha Series of Smart Cities Mission (SCM) and has concluded improvements in Quality of Education through Smart Classrooms and real-time tracking in incidenc",264586
,named system,SAFETY AND INTELLIGENT TRANSPORT,named system,2,2,100%,"SAFETY AND INTELLIGENT TRANSPORT SYSTEMS (ITS) Government in Ministry of Road Transport & Highways has issued guidelines for regular safety audit of all National Highways (NHs) at design, construction, pre-opening stage of NH projects as we",279794
,named system,Samanvaya Platform The Samanvaya,named system,2,2,100%,[24] Samanvaya Platform The Samanvaya Platform strengthens cyber fraud investigations by providing analytics-based interstate linkages of criminals and crimes,277144
,named system,Service Plus,named system,2,3,67%,"Srinivas, Secretary, DARPG, concluded the session by charting the way forward to focus on: Promotion of Universalized face Authentication processes for simplification of service delivery Incorporation of Bhashini , service plus, etc in e-go",252077
,AI-shaped word,AI-driven,AI-*,473,473,100%,"The Foundation commits to assisting the Ministry in establishing India as a global leader in AI-driven digital agriculture transformation, aligning with the MeitY’s National Plan for AI",252478
,AI-shaped word,AI-enabled,AI-*,433,433,100%,"Developed in collaboration with industry giants like L&T, Microsoft, CISCO, and more, SWAYAM Plus features innovative elements such as multilingual content, AI-enabled guidance, credit recognition, and pathways to employment",254237
,AI-shaped word,AI-powered,AI-*,316,316,100%,"Indeed, from AI-powered map creation to targeted weather alerts, and from blockchain-secured data sharing to Twitter's rapid information flow, a potent mix of advanced and established technologies is reshaping disaster response",252381
,AI-shaped word,AI-based,AI-*,306,306,100%,"New Website: Along with the portal, the website offers easy access to relevant information, featuring an AI-based chatbot for user-friendly interactions",254017
,AI-shaped word,AI-led,AI-*,49,49,100%,"Other Make in India products launched included AI-DC Optical Solution by STL,which will connect GPUs in AI-led data centres and 2 Gbps Point to Multipoint UBR Radio by HFCL which offers affordable last mile connectivity",261164
,AI-shaped word,AI-related,AI-*,42,42,100%,"GPAI is a multi-stakeholder initiative with 29 member countries, which aims to bridge the gap between theory and practice on AI by supporting cutting-edge research and applied activities on AI-related priorities",256640
,AI-shaped word,AI-ready,AI-*,40,40,100%,"The discussion covered India’s unique needs and collaboration among industry, public sector and society to build an AI-ready generation in India, emphasizing human intelligence to thrive in an AI-driven world",256667
,AI-shaped word,AI-generated,AI-*,38,38,100%,"Presently, there is no proposal to create any separate right so ram end the law in the context of AI-generated content",253564
,AI-shaped word,AI-assisted,AI-*,36,36,100%,"Initiatives like e-Courts Project Phase III, AI-assisted legal translation, predictive policing, and AI-driven legal chatbots are reshaping the legal landscape, making processes faster, smarter, and more transparent",267903
,AI-shaped word,India-AI,AI-*,36,36,100%,"He mentioned the launch of the India-AI Mission to build world-class infrastructure, high-quality datasets, and research facilities",270590
,AI-shaped word,AI-native,AI-*,27,27,100%,"He stated that Bharat's 6G Vision aims to position India as a global 6G leader by 2030 through the Bharat 6G Alliance, 111+ funded research projects, global partnerships with Japan, Singapore, and Finland, and breakthroughs in terahertz com",270946
,AI-shaped word,Bio-AI,AI-*,21,21,100%,This will accelerate technology development and commercialization by establishing Biomanufacturing & Bio-AI hubs and Biofoundry,258978
,AI-shaped word,India–AI,AI-*,21,21,100%,"chnology (MeitY), Government of India, hosted a set of Pre-Summit events for the upcoming India–AI Impact Summit 2026 at the India Mobile Congress (IMC) 2025 in New Delhi today",277370
,AI-shaped word,AI-integrated,AI-*,14,14,100%,The stall showcased India’s innovative skilling models and AI-integrated learning platforms,270722
,AI-shaped word,AI-ACIHR,AI-*,11,11,100%,"s to Announce setting up of Ayush - ICMR Advanced Centre for Integrative Health Research (AI-ACIHR) at select AIIMS across the nation Union Minister of AYUSH and Ports, Shipping & Waterways Shri Sarbananda Sonowal and Union Minister of Heal",254451
,AI-shaped word,AI-focused,AI-*,10,10,100%,"Hence the students of the 15 NSTIs across the country, would have access to 1200 hours of AI-focused training, and, in addition to this, about 400 additional hours will be dedicated to Advanced AI skills and a virtual On-the-Job Training (O",258603
,AI-shaped word,AI-Enhanced,AI-*,9,9,100%,"The following focus areas have been identified, along with indicative use cases, for the Innovation Challenge: Healthcare: Enhancing diagnostics and patient care, early disease detection using AI-enhanced X-rays, strengthening ophthalmology",260039
,AI-shaped word,AI-First,AI-*,7,7,100%,""" India’s Journey towards becoming an AI-First nation Puneet Chandok, President, Microsoft India and South Asia highlighted that ""We are proud to come together with India AI to advance AI and emerging technologies in India",265881
,AI-shaped word,AI-supported,AI-*,7,7,100%,"Trust, provenance and cultural authenticity AI-supported documentation and tagging systems help establish authenticity and build trust for heritage and GI-tagged products",283807
,AI-shaped word,AI-CoEs,AI-*,6,6,100%,"While speaking at the event, Shri Dharmendra Pradhan hoped that the three AI-CoEs would emerge as temples of global public good",261132
,AI-shaped word,AI-for,AI-*,6,6,100%,"The foundation’s AI-for-Science initiative is another key highlight, focusing on using AI to model scientific equations in physics, chemistry, and biology — a leap expected to drastically shorten the time from theory to practice in core sci",270331
,AI-shaped word,MausamGPT,*GPT,6,6,100%,"In addition to the above research work, the MausamGPT (Mausam Generative Pre-trained Transformer), which is an AI-based chatbot trained explicitly as a climate service advisor to farmers and stakeholders also being developed",274995
,AI-shaped word,AI-literate,AI-*,5,5,100%,"By fostering a robust ecosystem of AI-literate students and educators, the initiative aims to create a pipeline of skilled professionals for roles in AI development, data analytics, and tech innovation",277784
,AI-shaped word,AI-skilled,AI-*,5,5,100%,"The AI-skilled workforce has seen a 14-fold increase from 2016 to 2023, making India one of the top five fastest-growing AI talent hubs, alongside Singapore, Finland, Ireland, and Canada",268218
,AI-shaped word,AI-readiness,AI-*,4,4,100%,"Under the SOAR initiative, AI-readiness courses are being delivered in partnership with Microsoft, HCL Technologies and NASSCOM to equip students and educators with foundational and applied AI skills",280781
,AI-shaped word,Siddhi-AI,AI-*,4,4,100%,"Flagship systems such as PARAM Siddhi-AI and AIRAWAT provide AI-optimised supercomputing for applications including natural language processing, weather prediction, and drug discovery",283404
,AI-shaped word,iGOT-AI,AI-*,4,4,100%,"The newly introduced initiatives include AIKosha: IndiaAI Datasets Platform, the AI Compute Portal, the AI Competency Framework for Public Sector Officials, iGOT-AI Mission Karmayogi, the IndiaAI Startups Global Acceleration Program with St",268241
,AI-shaped word,AI-Data,AI-*,3,3,100%,"0, the training is imparted in 17 computer related job roles like Web Developer, Software Programmer, Database Administrator, Ai- Data Scientist, AI-Data Engineer, etc",257165
,AI-shaped word,AI-ENGAGE,AI-*,3,3,100%,"Through the Advancing Innovations for Empowering NextGen Agriculture (AI-ENGAGE) initiative announced at last year’s Summit, our governments are deepening leading-edge collaborative research to harness artiﬁcial intelligence, robotics, and ",260120
,AI-shaped word,AI-Empowered,AI-*,3,3,100%,The programme also included insightful talks on AI-empowered brain-computer interfaces for 21st-century challenges by eminent speaker Dr Tapan Gandhi from IIT Delhi,257345
,AI-shaped word,AI-augmented,AI-*,3,3,100%,Prioritising education and skill development will be crucial to equipping workers with the competencies needed to thrive in an AI-augmented landscape,266746
,AI-shaped word,AI-centric,AI-*,3,3,100%,"Delegates from across sectors explored potential collaborations in talent development, workforce mobility, and AI-centric skilling programmes",270722
,AI-shaped word,BharatGPT,*GPT,3,3,100%,"” The pre-summit events saw participation from senior government officials and industry leaders, including representatives from Reliance Jio, TCS, Tanla Platforms, BharatGPT-Corover",277370
,AI-shaped word,Gen-AI,AI-*,3,3,100%,"Under the National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS), DST has launched BharatGen initiative for IoT& IoE, focusing on Large Language Modelling (LLM)/ Generative AI for developing advanced Gen-AI models tailored t",273813
,AI-shaped word,IHUB Drishti,*Drishti,3,3,100%,"92 5 IHUB Drishti Foundation, IIT Jodhpur, NH 62, Karwar, Jodhpur, Rajasthan - 342030 50 2369",269731
,AI-shaped word,IITI Drishti,*Drishti,3,3,100%,"50 20 IITI Drishti CPS Foundation, IIT Indore, Khandwa Road, Simrol, Indore, Madhya Pradesh - 453552 82 696",269731
,AI-shaped word,Nirbhay Drishti,*Drishti,3,3,100%,"These include Nirbhay Netri, focused on capacity building and legal awareness of Elected Women Representatives; Nirbhay Chetna, aimed at sensitising elected male representatives towards gender equality and women-related issues; and Nirbhay ",289328
,AI-shaped word,edge-AI,AI-*,3,3,100%,"InCore Semiconductors is focused on the design and development of indigenous RISC-V microprocessor IPs and SoC design automation tools, with the ultimate goal of building India’s most powerful embedded processor, Dolomite, targeted at entry",281831
,AI-shaped word,AI-CoE,AI-*,2,2,100%,"Respective Apex Committee members of the AI-CoE Healthcare, Agriculture and Sustainable Cities explained the scope and extent of the projects",261132
,AI-shaped word,AI-Impact,AI-*,2,2,100%,"Annexure Hosted by the Ministry of Electronics and Information Technology, the India AI-Impact Summit 2026 will be held on February 19-20 2026 in New Delhi",276199
,AI-shaped word,AI-aligned,AI-*,2,2,100%,"It allocated support for the Indian Institute of Creative Technologies (IICT), Mumbai to establish AI-aligned Content Creator Labs in 15,000 schools and 500 colleges , opening pathways for youth to gain future-ready skills and enter AI-cent",284555
,AI-shaped word,AI-application,AI-*,2,2,100%,"In Phase II, the initiative was expanded significantly with the approval of 50 NSQF-aligned AI and AI-application courses across multiple sectors",285395
,AI-shaped word,AI-chatbot,AI-*,2,2,100%,"Additionally, the Ministry utilised the voice based AI-chatbot “Kisan-eMitra” to assist farmers with queries regarding PM-KISAN, in their own language",259987
,AI-shaped word,AI-embedded,AI-*,2,2,100%,"During his visit to the facility, Shri Vaishnaw noted the growing strength of India’s design ecosystem, pointing out that the location hosts a team of over 5,000 engineers working on complex, AI-embedded systems",270356
,AI-shaped word,AI-only,AI-*,2,2,100%,"However, he cautioned against an over-reliance on AI-only models and proposed a hybrid model that optimally blends Artificial Intelligence with human intelligence to retain empathy and integrity in public service delivery",272025
,AI-shaped word,AI-optimised,AI-*,2,2,100%,"Flagship systems such as PARAM Siddhi-AI and AIRAWAT provide AI-optimised supercomputing for applications including natural language processing, weather prediction, and drug discovery",283404
,AI-shaped word,AI-recommended,AI-*,2,2,100%,"Since CDSS integration, 196 million eSanjeevani consultations benefitted from standardized data capture, ensuring consistency across health and wellness centres and 12 million consultations have been aided by AI-recommended diagnoses, allow",269000
,AI-shaped word,BharatiyaGPT,*GPT,2,2,100%,"BharatiyaGPT, features “Manuscript-to-Conversational AI” on Gyan Bharatam Web Portal converting manuscript heritage into AI-ready, machine-readable knowledge and provides a multilingual and multimodal access, including text, audio and voice",291967
,AI-shaped word,Divya Drishti,*Drishti,2,2,100%,"0, a pan India theme-based contest organised by the Defence Research and Development Organisation (DRDO), has successfully developed an AI tool “Divya Drishti” that integrates face recognition with immutable physiological parameters such as",256112
,AI-shaped word,Hydro-AI,AI-*,2,2,100%,"Varaha Climate AG Private Limited Existing Solution Water and Fish Monitoring Kadalcompass - We Amplify the voice of water using Hydro-AI,Underwater com,IoUT with Sensor Network: 5G-enabled device that transforms fishing practices using AI,",273700
,AI-shaped word,Mission Drishti,*Drishti,2,2,100%,Prime Minister congratulates GalaxEye on the successful launch of Mission Drishti Prime Minister Shri Narendra Modi has congratulated the founders and the entire team of GalaxEye on the successful launch of Mission Drishti,288502
,AI-shaped word,Vocbot,*bot,2,2,100%,"The selected startups for Cohort-II include Huebits Tech Private Limited, Dawniens International Private Limited, Khageshvara Aviation Technology Private Limited, Revon unmanned systems Private Limited, InventGrid India Private Limited, Vay",277467
,AI-shaped word,non-AI,AI-*,2,2,100%,"During the same period, demand for AI skills grew 75% faster than non-AI roles, largely driven by high-wage, urban, white-collar employment",284070
,AI-shaped word,AI-Aware,AI-*,1,1,100%,AI-Aware Students and Trained Educators : SOAR aims to produce AI-aware students capable of ethical AI application and train educators across government and private schools in enhancing teaching methodologies and ensuring widespread adoptio,277784
,AI-shaped word,AI-CBP,AI-*,1,1,100%,"Key AI-powered features being demonstrated include: AI-Driven Capacity Building Plans (AI-CBP): A tool that analyses roles and official documents, maps competencies, identifies capability gaps, and generates role-specific learning pathways ",284372
,AI-shaped word,AI-Courses,AI-*,1,1,100%,"AI-Courses for Students and Educators DIKSHA Platform DIKSHA (Digital Infrastructure for Knowledge Sharing), a Ministry of Education initiative, uses AI for inclusivity: AI-based keyword search in videos and read-aloud feature for visually ",285159
,AI-shaped word,AI-Deep,AI-*,1,1,100%,SNRAS PVT LTD Existing Solution Quality of produce AI-Deep tech driven quality assessment of maize: Traceability of the maize quality from farm to processing units provides unique and important value for the entire product chain in the mark,273700
,AI-shaped word,AI-IoT,AI-*,1,1,100%,"Technologies including Hand held device for nutrient and water stress detection in field crops, Localizer, Industrial cut resistance gloves developed using multi-layer weaving technology, AI-IoT enabled jute fibre grading system, Biothermoc",256952
,AI-shaped word,AI-MET,AI-*,1,1,100%,"The event also marked the launch of the White Paper Concept on “AI for Manufacturing, Engineering Technology (AI-MET)”, by the hon’ble Minister Shri Ashwini Vaishnaw",284502
,AI-shaped word,AI-Machine,AI-*,1,1,100%,"Training is being imparted in roles such as AI-Machine Learning Engineer, AI-Data Scientist, AI-Data Architect, AI-Data Engineer, AI Technocrat, Artificial Intelligence Assistant and AI & ML-Junior Telecom Data Analyst, among others",292208
,AI-shaped word,AI-PACCTS,AI-*,1,1,100%,"With this vision, today we launched the Australia–India Partnership on Cyber, Critical Technologies, and Supply Chains (AI-PACCTS)",291031
,AI-shaped word,AI-Preneurs,AI-*,1,1,100%,"Atal Innovation Mission launches ‘AI-Preneurs of India’ at India AI Impact Summit 2026, showcasing India’s purpose driven AI Ecosystem Reaffirming India’s emergence as a global leader in responsible and inclusive artificial intelligence, At",284425
,AI-shaped word,AI-Reinforced,AI-*,1,1,100%,Simuliware: A digital twin based low-cost shopfloor simulation solution for MSMEs iGLU : Intelligent Glucose Measurement Device Remote multimodal point-of-care health diagnostic and consultancy system OASIS: Online Aerial image-based Surfac,286267
,AI-shaped word,AI-Smart,AI-*,1,1,100%,1 27 Tourism SSC AI-Smart Waste Controller: Operating Food-Waste AI in Commercial Kitchens 4 6 0,285395
,AI-shaped word,AI-Thermal,AI-*,1,1,100%,[30] Breast Cancer Thermalytix AI-Thermal Imaging: Uses high-resolution thermal sensors and machine learning to detect breast cancer early based on temperature variations,284172
,AI-shaped word,AI-accelerated,AI-*,1,1,100%,"CERT-In has issued guidelines in June 2026 requiring all Original Equipment Manufacturers (OEMs) and technology providers to implement AI-accelerated vulnerability protection, requiring AI-assisted security testing, continuous monitoring, p",292307
,AI-shaped word,AI-altered,AI-*,1,1,100%,"Political parties, candidates and campaign representatives are required to ensure that any synthetically generated or AI-altered content used for campaigning is clearly labelled as “AI-Generated”, “Digitally Enhanced” or “Synthetic Content”",288037
,AI-shaped word,AI-built,AI-*,1,1,100%,"Key Experience Zones AI Gaming Lab Visitors experienced AI-powered game development in real time today, from concept generation to playable prototypes, and engaged with AI-built video games within an interactive gaming lab environment",284448
,AI-shaped word,AI-camera,AI-*,1,1,100%,"Indian Railways has also initiated the pilot project of using automated AI-camera stain detection technology in laundries at Pune Division, Central Railway and Jaipur & Jodhpur division, North Western Railway for ascertaining the quality of",291843
,AI-shaped word,AI-capable,AI-*,1,1,100%,"Netrasemi is focused on designing AI-capable SoCs for CCTV secure surveillance, smart sensors, robotics and drones, and mobility applications",281831
,AI-shaped word,AI-centred,AI-*,1,1,100%,"The summit will cover AI-centred policy, research, industry, and public engagement",284172
,AI-shaped word,AI-chip,AI-*,1,1,100%,"Speakers compared global policy models, urged unified governance and a national research centre, highlighted AI-chip startup opportunities, and emphasized semiconductor diplomacy, rare-earth access, supply-chain resilience and strategic aut",285094
,AI-shaped word,AI-competitive,AI-*,1,1,100%,"India is the world's third most AI-competitive nation India has secured the 3 rd position globally in Artificial Intelligence competitiveness , according to a report by Stanford University’s 2025 Global AI Vibrancy Tool",281654
,AI-shaped word,AI-created,AI-*,1,1,100%,"A few AI-created devotional songs were telecast on the Prasar Bharati network, including the WAVES OTT platform, during Durga Navratri Festival this year",280591
,AI-shaped word,AI-curated,AI-*,1,1,100%,"At the Summit, visitors experience AI-curated archival content, projection-based storytelling, immersive audio-visual modules, and interactive interpretation systems designed for seven Tribal Freedom Fighter Museums across the country",284472
,AI-shaped word,AI-designed,AI-*,1,1,100%,"The long-term goal is to move toward innovation leadership, including AI-designed biologics and advanced therapies and precision medicine to make these more affordable and accessible",292670
,AI-shaped word,AI-developed,AI-*,1,1,100%,"Jitendra Singh today said that AI-developed tools are set to eliminate subjectivity in medical diagnosis, ensuring more precise and specific treatment for patients",284724
,AI-shaped word,AI-dominated,AI-*,1,1,100%,""" This foundational initiative organically integrates ethical AI practices into curricula, enabling young learners to grasp algorithms, problem-solving, and societal applications early, thereby building cognitive resilience for an AI-domina",284555
