relid,release_date,title,url,mention_type,is_ai_relevant,is_substantive,n_systems,confidence
290872,2026-07-04,"Prime Minister shares glimpses from inauguration of CG Semi Outsourced Semiconductor Assembly and Test (OSAT) facility in Sanand, Gujarat",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290872,Not AI,1,0,0,0.6
290876,2026-07-05,MY Bharat – Where Digital India Meets Young India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290876,AI system,1,1,1,0.7
290879,2026-07-05,India to host BRICS Heads of Anti-Drug Agencies meeting on 6–7 July 2026 in Guwahati,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290879,Not AI,0,0,0,0.9
290880,2026-07-05,ICMR wins Gold at National Awards for e-Governance 2026,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290880,AI system,1,1,1,0.75
290882,2026-07-05,India to Chair UNCTAD's Ninth Session of Intergovernmental Group of Experts on Consumer Protection,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290882,Talk,1,1,1,0.7
290896,2026-07-05,Ministry of Law and Justice Concludes ‘Reforms Utsav & Chintan Shivir 2026’; Releases Sankalp Patra to Advance Legal and Legislative Reforms,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290896,Not AI,1,0,0,0.75
290898,2026-07-06,Ayushman Bharat Digital Mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290898,AI system,1,1,2,0.75
290904,2026-07-06,"Reforms Utsav & Chintan Shivir 2026 organised by the Ministry of Law and Justice concludes at Mount Abu, Rajasthan",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290904,Not AI,1,0,0,0.75
290909,2026-07-06,Sahkar Se Samriddhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290909,AI system,1,1,1,0.65
290916,2026-07-06,India's Steel Sector Records Growth in Q1 FY 2026,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290916,Not AI,1,0,0,0.85
290918,2026-07-06,Union Minister of Commerce and Industry Shri Piyush Goyal says technology-enabled bilingual management education can bridge the rural-urban divide and expand access to quality education,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290918,Talk,1,0,0,0.7
290920,2026-07-06,"Ministry of Tribal Affairs to Organise National Workshop on Strengthening Tribal Research Institutes in Bhubaneswar, Odisha",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290920,Talk,1,1,0,0.6
290933,2026-07-06,Union Minister of Commerce and Industry Shri Piyush Goyal calls upon leather and footwear industry to target at least USD 15 billion in exports in next five to six years,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290933,Talk,1,1,0,0.65
290934,2026-07-06,Union Minister of Commerce and Industry Shri Piyush Goyal calls upon leather and footwear industry to target at least USD 15 billion in exports in next five to six years,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290934,Talk,1,1,0,0.65
290935,2026-07-06,Union Ministry of Health & Family Welfare organized National Multistakeholder Consultation on National Action Plan for Prevention and Control of Zoonoses on the occasion of World Zoonoses Day,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290935,Policy,1,1,0,0.6
290939,2026-07-07,English Translation of Prime Minister’s Press Statement during the Joint Press Statement with the President of Indonesia,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290939,Not AI,1,0,0,0.8
290942,2026-07-07,Prime Minister Shri Narendra Modi announces that IIM Bangalore will establish its campus in Indonesia; Says the campus will greatly benefit the youth across the ASEAN region,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290942,Not AI,1,0,0,0.8
290947,2026-07-07,India to Host 3rd BRICS Transport Ministers’ Meeting in Nagpur on 11th and 12th July 2026,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290947,Not AI,1,0,0,0.8
290960,2026-07-07,India-Indonesia Joint Statement on the State Visit by Prime Minister of India to Indonesia,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290960,Not AI,1,0,0,0.8
290965,2026-07-07,Strengthening India's Toy Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290965,Not AI,1,0,0,0.75
290973,2026-07-07,National Academic Depository (NAD),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290973,Not AI,0,0,0,0.9
290974,2026-07-07,"National Workshop on Strengthening Tribal Research Institutes (TRIs) begins in Bhubaneswar, Odisha",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290974,Talk,1,1,0,0.65
290993,2026-07-08,Poshan Tracker,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=290993,AI system,1,1,1,0.75
291001,2026-07-08,NICDC’s Logistics Arm NLDSL and Government of Punjab Sign MoU to Strengthen Digital Logistics Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291001,Not AI,0,0,0,0.85
291003,2026-07-08,Bhubaneswar Declaration adopted as National Workshop on Strengthening Tribal Research Institutes concludes,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291003,Talk,1,1,0,0.6
291004,2026-07-08,AI Intervention holds promise of manifold increase in India's Agriculture Economy; Agri-Startups Hold the Key to the Future of Farming: Dr. Jitendra Singh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291004,Talk,1,1,0,0.7
291011,2026-07-08,ECI holds Third One-Day Conference for Media and Communication Officers,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291011,Not AI,1,0,0,0.6
291014,2026-07-08,"TEC, the technical arm of DoT, signs MoU with BECIL to Strengthen India’s Telecom and Broadcasting Ecosystem",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291014,Not AI,1,0,0,0.75
291023,2026-07-09,Prime Minister addresses Australia-India CEOs Forum and Economic Roadmap Business event,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291023,Not AI,1,0,0,0.8
291025,2026-07-09,English Translation of Prime Minister’s Address at the Economic Roadmap Business Reception,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291025,Funding,1,1,0,0.55
291029,2026-07-09,"Australia-India Partnership on Cyber, Critical Technologies and Supply Chains (PACTS)",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291029,Policy,1,1,0,0.7
291031,2026-07-09,English Translation of Prime Minister’s Press Statement during the Joint Press Statement with the Prime Minister of Australia,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291031,Not AI,0,0,0,0.7
291044,2026-07-09,Department of Telecommunications' Samriddh Gram Wins WSIS Prize 2026 under Action Line C6 – Enabling Environment,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291044,Not AI,0,0,0,0.9
291046,2026-07-09,"50th Meeting (Phase I) of the National Skills Qualification Committee (NSQC) held under the Chairpersonship of Smt. Debashree Mukherjee, Secretary, MSDE and Chairperson, NCVET",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291046,AI system,1,1,1,0.65
291051,2026-07-09,"Quality Council of India and National Small Industries Corporation Sign MoU to Strengthen Quality, Competitiveness and Market Access for MSMEs",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291051,Not AI,1,0,0,0.7
291053,2026-07-09,Vice President graces the 15th Graduation Ceremony of the National Institute of Science Education and Research (NISER),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291053,Not AI,1,0,0,0.8
291056,2026-07-09,Prime Minister addresses the Indian Diaspora in Australia,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291056,Not AI,0,0,0,0.9
291065,2026-07-09,Union Home Minister and Minister of Cooperation Shri Amit Shah addresses Land Border Districts’ Superintendents of Police Conference-2026 in New Delhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291065,Not AI,0,0,0,0.9
291070,2026-07-10,India-Australia Roadmap for Sports Collaboration,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291070,Not AI,0,0,0,0.9
291073,2026-07-10,"Government amends Drugs Rules, 1945 to Strengthen Regulation of High Alcohol-Containing Drug Formulations",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291073,Not AI,0,0,0,0.9
291082,2026-07-10,Union Health Minister Shri J P Nadda Chairs 3rd Mission Steering Group Meeting of Ayushman Bharat Digital Mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291082,Not AI,1,0,0,0.75
291085,2026-07-10,Department of Commerce Reviews Andhra Pradesh FCV Tobacco Marketing Season 2025–26,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291085,Not AI,1,0,0,0.65
291097,2026-07-10,The Classrooms of Today Must Be Designed Around the Jobs of Tomorrow: Shri Jayant Chaudhary,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291097,Not AI,0,0,0,0.9
291100,2026-07-10,Technology Advisory Group (TAG) of Empowered Technology Group (ETG) meets to discuss A Strategic Roadmap for India’s Telecom Sector and establishing a dedicated “Communication Technology Task Force”,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291100,Not AI,1,0,0,0.7
291101,2026-07-10,Department of Telecommunications signs MoU with Telecommunications Standards Development Society India (TSDSI),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291101,Not AI,0,0,0,0.9
291110,2026-07-11,English Translation of Prime Minister's address at the India-New Zealand Business Event,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291110,Not AI,0,0,0,0.9
291115,2026-07-11,Indian Navy commissions Made-in-India advanced stealth frigate ‘INS Mahendragiri’ in Raksha Mantri’s presence at Visakhapatnam,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291115,Talk,1,1,0,0.55
291116,2026-07-11,Vice-President inaugurates Orientation-cum-Training Programme for Members of the 18th Bihar Legislative Assembly,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291116,Not AI,1,0,0,0.65
291123,2026-07-11,"National Conference on ""Strengthening Legal Education through Integration of Regional Languages""",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291123,Not AI,1,0,0,0.65
291127,2026-07-11,11 Years of Digital India: eSaras Online Market & Melas Strengthening Rural Livelihoods through Digital Commerce,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291127,Not AI,1,0,0,0.75
291145,2026-07-11,CSIR-NIScPR Successfully Concludes Five-Day Skill Training Programme on AI-enabled Institutional Repositories using DSpace,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291145,Training,1,1,0,0.9
291136,2026-07-12,"Union Minister of Commerce & Industry Shri Piyush Goyal to Lead High-Level Business Delegation to Spain, Belgium and Finland from 13–17 July 2026",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291136,Not AI,1,0,0,0.85
291138,2026-07-12,Weaving Sustainability into India’s Textile Future,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291138,Not AI,0,0,0,0.9
291141,2026-07-12,"Union Minister of Commerce & Industry Shri Piyush Goyal to Lead High-Level Business Delegation to Spain, Belgium and Finland from 13–17 July 2026",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291141,Not AI,1,0,0,0.85
291151,2026-07-12,"H.D. Kumaraswamy Inaugurates 84,000 m³ RCC Water Reservoir to Strengthen IISCO's Expansion and Water Security",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291151,Not AI,1,0,0,0.8
291164,2026-07-13,MeitY releases 2n? edition of the Digital Threat Report 2025-26 for India's BFSI Sector in Collaboration with SISA,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291164,Talk,1,1,0,0.5
291166,2026-07-13,"On the Eve of Bharat Tex 2026, India Prepares to Host the World’s Largest Global Textiles Expo",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291166,Not AI,1,0,0,0.8
291174,2026-07-13,India enters next phase of governance transformation with AI-driven administrative reforms: Dr. Jitendra Singh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291174,Talk,1,1,1,0.75
291175,2026-07-13,MIB Invites Proposals for Industry-led Challenges under WAVES 2027 Create in India Challenge Season 2,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291175,Not AI,1,0,0,0.85
291181,2026-07-13,"ITDC, SCOPE and LBSNAA Organise ‘AI Champions for Digital Governance’ Summit in New Delhi",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291181,Training,1,1,0,0.85
291195,2026-07-13,"President of India to inaugurate 'Saushrutam 2026' at AIIA, New Delhi on Sushruta Jayanti",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291195,Talk,1,1,1,0.6
291196,2026-07-14,Union Minister of Commerce and Industry Shri Piyush Goyal Begins Spain Visit with High-Level Engagements to Deepen India–Spain Economic Partnership,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291196,Not AI,1,0,0,0.8
291205,2026-07-14,"New ultra-sensitive ammonia sensor can enable portable, self-powered, wearable devices to prevent toxic gas exposure",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291205,Not AI,0,0,0,0.9
291208,2026-07-14,From Infrastructure Creation to Service Delivery: DDWS Holds 10th District Collectors' Peyjal Samvad,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291208,Not AI,0,0,0,0.9
291210,2026-07-14,North East Witnesses Unprecedented Expansion of Science & Technology Infrastructure under Prime Minister Narendra Modi: Dr. Jitendra Singh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291210,Not AI,1,0,0,0.8
291213,2026-07-14,"‘Seva’ and ‘Samman’ for the nation’s Shram Shakti are at the core of our governance, says Dr. Mansukh Mandaviya",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291213,Not AI,1,0,0,0.85
291220,2026-07-14,‘Scaling Urban Climate Resilience: The CapaCITIES Legacy and Way Forward’ an event to celebrate the progress of CapaCITIES programme held in New Delhi today,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291220,Not AI,0,0,0,0.9
291225,2026-07-14,Union Minister of Textiles Inaugurates Bharat Tex 2026; India's Largest Global Textile Event Opens with Record International Participation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291225,Not AI,1,0,0,0.8
291232,2026-07-15,BRIC-THSTI Hosts Third Industry Meet ‘SYNCHN 2026’,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291232,Not AI,1,0,0,0.75
291244,2026-07-15,Cabinet approves Semicon 2.0 - Government delivers on its commitment for a long-term policy support to Semiconductors in India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291244,Not AI,1,0,0,0.85
291247,2026-07-15,Cabinet approves Semicon 2.0 - Government delivers on its commitment for a long-term policy support to Semiconductors in India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291247,Not AI,1,0,0,0.85
291251,2026-07-15,Safe Workplace & High Value Jobs characterise India's Chip Ecosystem as we are Emerging as Trusted Global Hub in Electronics & Semiconductor,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291251,Not AI,1,0,0,0.85
291262,2026-07-15,India–UK CETA Comes into Effect,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291262,Not AI,0,0,0,0.9
291265,2026-07-15,Empowering India's Skill Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291265,Training,1,1,0,0.65
291268,2026-07-15,Committed to ensuring that no worker is left behind: Dr. Mansukh Mandaviya at 12th BRICS Labour & Employment Ministers’ Meeting in Hyderabad,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291268,Not AI,1,0,0,0.75
291269,2026-07-15,Digital India BHASHINI Division (DIBD) and Punjab National Bank (PNB) Sign MoU to Advance Multilingual AI for Inclusive Banking,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291269,AI system,1,1,2,0.85
291273,2026-07-15,President of India Smt. Droupadi Murmu inaugurates 'Saushrutam 2026'; calls for integration of traditional wisdom with modern science to strengthen evidence-based Ayurveda,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291273,Talk,1,1,1,0.7
291281,2026-07-15,"The Future Belongs to Those Who Learn, Adapt and Innovate: Shri Jayant Chaudhary at World Youth Skills Day 2026",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291281,Not AI,1,0,0,0.75
291302,2026-07-16,Border infrastructure to remain indispensable in future technology-driven warfare: Raksha Mantri at BRO Strategic Infrastructure Conclave,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291302,Not AI,1,0,0,0.8
291309,2026-07-16,Quarterly release of Performance Monitoring Dashboard of Infrastructure Sector in India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291309,Not AI,0,0,0,0.9
291312,2026-07-16,"MoS Labour & Employment, Shobha Karandlaje, leads Visit of BRICS Labour and Employment Ministers to Bosch Global Software Technologies and CII Green Business Centre in Hyderabad",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291312,Not AI,1,0,0,0.8
291317,2026-07-16,CSIR-Central Road Research Institute (CSIR-CRRI) today commenced its year-long Platinum Jubilee Celebrations with the launch of a nationwide first-phase implementation of advanced indigenous road infrastructure technologies across 16 towns or locations across the country.,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291317,Talk,1,1,1,0.6
291319,2026-07-16,Union Minister Dr. Jitendra Singh Announces India’s First Engineering Biology Graduation Course to Build Future Biotechnology Workforce,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291319,Not AI,1,0,0,0.7
291333,2026-07-16,"It's an opportune moment for Indian brands, designers, and artisans to position themselves as leading voices in the global arena: Shri Giriraj Singh",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291333,Not AI,1,0,0,0.75
291335,2026-07-16,Shivraj Singh Chouhan Unveils Bold Vision for Viksit Krishi and Prosperous Farmers to Realise Viksit Bharat 2047 at ICAR's 98th Foundation Day,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291335,Not AI,0,0,0,0.9
291369,2026-07-16,NITI Aayog launches a ten-year roadmap to build India into a leading bioeconomy powerhouse by 2035,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291369,Policy,1,1,0,0.55
291345,2026-07-17,Fourth Edition of IICA’s National Conference on Responsible Business Conduct (NCRBC) 2026 held in New Delhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291345,Not AI,1,0,0,0.75
291352,2026-07-17,Bharat Tex 2026 Witnesses Unprecedented Business Momentum and Massive Footfall,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291352,Not AI,1,0,0,0.8
291362,2026-07-17,English rendering of PM’s speech at the launch of multiple development projects in Chandigarh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291362,Not AI,0,0,0,0.85
291363,2026-07-17,"Prime Minister Shri Narendra Modi lays foundation stone and dedicates to the nation various development projects worth over ?4,700 crore in Chandigarh, spanning healthcare, education and road infrastructure",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291363,Not AI,1,0,0,0.7
291365,2026-07-17,Centre and States Chart Roadmap for the Next Phase of Ayushman Bharat PM-JAY and ABDM at NHA National Review Meeting (Chintan Shivir),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291365,Not AI,1,0,0,0.8
291374,2026-07-17,Union Minister of Commerce and Industry Shri Piyush Goyal Engages with Leading Finnish Technology and Industrial Companies to Deepen India–Finland Partnership,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291374,Not AI,0,0,0,0.85
291383,2026-07-18,Vikram-1: Charting India’s Cosmic Future,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291383,Not AI,0,0,0,0.85
291387,2026-07-18,Op Sindoor demonstrated India’s world-class defence readiness sharpened by Govt’s ‘Nation First’ & ‘Forces First’ resolve: Raksha Mantri,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291387,Not AI,1,0,0,0.85
291389,2026-07-18,NHA Concludes Two-Day National Review Meeting on AB PM-JAY and ABDM; Centre and States Chart Roadmap for the Next Phase of Health Reforms,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291389,Talk,1,1,1,0.6
291398,2026-07-18,"Union Home Minister and Minister of Cooperation Shri Amit Shah inspects indigenous and state-of-the-art technologies designed to further strengthen border security at the Jhumagachh BOP in Siliguri, West Bengal",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291398,Not AI,0,0,0,0.85
291402,2026-07-18,Fourth Edition of National Conference on Responsible Business Conduct (NCRBC) 2026 Concludes in New Delhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291402,Not AI,1,0,0,0.85
291424,2026-07-19,Union Home Minister and Minister of Cooperation Shri Amit Shah inaugurates the first phase of the 'Museum of Word' in Kolkata,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291424,Not AI,1,0,0,0.75
291425,2026-07-19,"Union Minister of Commerce and Industry Shri Piyush Goyal concludes successful visit to Spain, Belgium, Finland and Estonia; strengthens India's economic partnership with Europe",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291425,Not AI,1,0,0,0.85
291437,2026-07-20,Department of Legal Affairs Organises 8th BRICS Heads of Prosecution Services Meeting,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291437,Not AI,1,0,0,0.8
