relid,system_seq,type,ai_reality,ai_paradigm,talk_kind,system_name,deploying_body,application_domain,lifecycle_stage,technology_type,confidence
292534,0,mention,,,training,,,,,,0.7
292548,0,mention,,,general,,,,,,0.55
292554,0,mention,,,funding,,,,,,0.7
292586,0,mention,,,training,,,,,,0.75
292589,0,mention,,,training,,,,,,0.75
292619,0,mention,,,training,,,,,,0.75
292622,0,mention,,,research,,,,,,0.55
292670,0,mention,,,funding,,,,,,0.6
292685,0,mention,,,general,,,,,,0.7
292717,0,mention,,,general,,,,,,0.65
292729,0,mention,,,general,,,,,,0.6
290702,0,not_ai,,,,,,,,,0.85
290716,0,not_ai,,,,,,,,,0.9
290730,0,not_ai,,,,,,,,,0.8
290731,0,not_ai,,,,,,,,,0.9
290732,0,not_ai,,,,,,,,,0.75
290759,0,not_ai,,,,,,,,,0.6
290775,0,not_ai,,,,,,,,,0.6
290781,0,not_ai,,,,,,,,,0.9
290789,0,not_ai,,,,,,,,,0.85
290803,0,not_ai,,,,,,,,,0.65
290809,0,not_ai,,,,,,,,,0.7
290811,0,not_ai,,,,,,,,,0.9
290815,0,not_ai,,,,,,,,,0.9
290829,0,not_ai,,,,,,,,,0.7
290833,0,not_ai,,,,,,,,,0.75
290847,0,not_ai,,,,,,,,,0.85
290860,0,not_ai,,,,,,,,,0.7
290864,0,not_ai,,,,,,,,,0.7
290867,0,not_ai,,,,,,,,,0.75
290869,0,not_ai,,,,,,,,,0.9
290870,0,not_ai,,,,,,,,,0.7
290872,0,not_ai,,,,,,,,,0.6
290879,0,not_ai,,,,,,,,,0.9
290896,0,not_ai,,,,,,,,,0.75
290904,0,not_ai,,,,,,,,,0.75
290916,0,not_ai,,,,,,,,,0.85
290939,0,not_ai,,,,,,,,,0.8
290942,0,not_ai,,,,,,,,,0.8
290947,0,not_ai,,,,,,,,,0.8
290960,0,not_ai,,,,,,,,,0.8
290965,0,not_ai,,,,,,,,,0.75
290973,0,not_ai,,,,,,,,,0.9
291001,0,not_ai,,,,,,,,,0.85
291011,0,not_ai,,,,,,,,,0.6
291014,0,not_ai,,,,,,,,,0.75
291023,0,not_ai,,,,,,,,,0.8
291031,0,not_ai,,,,,,,,,0.7
291044,0,not_ai,,,,,,,,,0.9
291051,0,not_ai,,,,,,,,,0.7
291053,0,not_ai,,,,,,,,,0.8
291056,0,not_ai,,,,,,,,,0.9
291065,0,not_ai,,,,,,,,,0.9
291070,0,not_ai,,,,,,,,,0.9
291073,0,not_ai,,,,,,,,,0.9
291082,0,not_ai,,,,,,,,,0.75
291085,0,not_ai,,,,,,,,,0.65
291097,0,not_ai,,,,,,,,,0.9
291100,0,not_ai,,,,,,,,,0.7
291101,0,not_ai,,,,,,,,,0.9
291110,0,not_ai,,,,,,,,,0.9
291116,0,not_ai,,,,,,,,,0.65
291123,0,not_ai,,,,,,,,,0.65
291127,0,not_ai,,,,,,,,,0.75
291136,0,not_ai,,,,,,,,,0.85
291138,0,not_ai,,,,,,,,,0.9
291141,0,not_ai,,,,,,,,,0.85
291151,0,not_ai,,,,,,,,,0.8
291166,0,not_ai,,,,,,,,,0.8
291175,0,not_ai,,,,,,,,,0.85
291196,0,not_ai,,,,,,,,,0.8
291205,0,not_ai,,,,,,,,,0.9
291208,0,not_ai,,,,,,,,,0.9
291210,0,not_ai,,,,,,,,,0.8
291213,0,not_ai,,,,,,,,,0.85
291220,0,not_ai,,,,,,,,,0.9
291225,0,not_ai,,,,,,,,,0.8
291232,0,not_ai,,,,,,,,,0.75
291244,0,not_ai,,,,,,,,,0.85
291247,0,not_ai,,,,,,,,,0.85
291251,0,not_ai,,,,,,,,,0.85
291262,0,not_ai,,,,,,,,,0.9
291268,0,not_ai,,,,,,,,,0.75
291281,0,not_ai,,,,,,,,,0.75
291302,0,not_ai,,,,,,,,,0.8
291309,0,not_ai,,,,,,,,,0.9
291312,0,not_ai,,,,,,,,,0.8
291319,0,not_ai,,,,,,,,,0.7
291333,0,not_ai,,,,,,,,,0.75
291335,0,not_ai,,,,,,,,,0.9
291345,0,not_ai,,,,,,,,,0.75
291352,0,not_ai,,,,,,,,,0.8
291362,0,not_ai,,,,,,,,,0.85
291363,0,not_ai,,,,,,,,,0.7
291365,0,not_ai,,,,,,,,,0.8
291374,0,not_ai,,,,,,,,,0.85
291383,0,not_ai,,,,,,,,,0.85
291387,0,not_ai,,,,,,,,,0.85
291398,0,not_ai,,,,,,,,,0.85
291402,0,not_ai,,,,,,,,,0.85
291424,0,not_ai,,,,,,,,,0.75
291425,0,not_ai,,,,,,,,,0.85
291437,0,not_ai,,,,,,,,,0.8
291441,0,not_ai,,,,,,,,,0.6
291442,0,not_ai,,,,,,,,,0.85
291443,0,not_ai,,,,,,,,,0.75
291451,0,not_ai,,,,,,,,,0.85
291456,0,not_ai,,,,,,,,,0.65
291473,0,not_ai,,,,,,,,,0.55
291475,0,not_ai,,,,,,,,,0.9
291476,0,not_ai,,,,,,,,,0.85
291486,0,not_ai,,,,,,,,,0.9
291505,0,not_ai,,,,,,,,,0.85
291530,0,not_ai,,,,,,,,,0.85
291533,0,not_ai,,,,,,,,,0.75
291535,0,not_ai,,,,,,,,,0.8
291545,0,not_ai,,,,,,,,,0.75
291551,0,not_ai,,,,,,,,,0.9
291569,0,not_ai,,,,,,,,,0.7
291599,0,not_ai,,,,,,,,,0.8
291600,0,not_ai,,,,,,,,,0.85
291601,0,not_ai,,,,,,,,,0.8
291610,0,not_ai,,,,,,,,,0.85
291614,0,not_ai,,,,,,,,,0.9
291625,0,not_ai,,,,,,,,,0.75
291626,0,not_ai,,,,,,,,,0.75
291640,0,not_ai,,,,,,,,,0.85
291645,0,not_ai,,,,,,,,,0.8
291647,0,not_ai,,,,,,,,,0.9
291650,0,not_ai,,,,,,,,,0.85
291666,0,not_ai,,,,,,,,,0.85
291702,0,not_ai,,,,,,,,,0.8
291704,0,not_ai,,,,,,,,,0.7
291706,0,not_ai,,,,,,,,,0.8
291707,0,not_ai,,,,,,,,,0.9
291708,0,not_ai,,,,,,,,,0.8
291715,0,not_ai,,,,,,,,,0.85
291720,0,not_ai,,,,,,,,,0.75
291721,0,not_ai,,,,,,,,,0.75
291745,0,not_ai,,,,,,,,,0.9
291748,0,not_ai,,,,,,,,,0.85
291750,0,not_ai,,,,,,,,,0.75
291767,0,not_ai,,,,,,,,,0.9
291781,0,not_ai,,,,,,,,,0.85
291824,0,not_ai,,,,,,,,,0.6
291853,0,not_ai,,,,,,,,,0.95
291861,0,not_ai,,,,,,,,,0.95
291868,0,not_ai,,,,,,,,,0.6
291882,0,not_ai,,,,,,,,,0.7
291884,0,not_ai,,,,,,,,,0.95
291885,0,not_ai,,,,,,,,,0.75
291946,0,not_ai,,,,,,,,,0.95
291961,0,not_ai,,,,,,,,,0.65
291977,0,not_ai,,,,,,,,,0.6
292003,0,not_ai,,,,,,,,,0.95
292027,0,not_ai,,,,,,,,,0.95
292035,0,not_ai,,,,,,,,,0.9
292068,0,not_ai,,,,,,,,,0.95
292078,0,not_ai,,,,,,,,,0.95
292119,0,not_ai,,,,,,,,,0.95
292144,0,not_ai,,,,,,,,,0.6
292149,0,not_ai,,,,,,,,,0.65
292152,0,not_ai,,,,,,,,,0.65
292166,0,not_ai,,,,,,,,,0.9
292169,0,not_ai,,,,,,,,,0.75
292173,0,not_ai,,,,,,,,,0.8
292176,0,not_ai,,,,,,,,,0.7
292202,0,not_ai,,,,,,,,,0.75
292204,0,not_ai,,,,,,,,,0.75
292205,0,not_ai,,,,,,,,,0.75
292222,0,not_ai,,,,,,,,,0.7
292224,0,not_ai,,,,,,,,,0.55
292225,0,not_ai,,,,,,,,,0.8
292228,0,not_ai,,,,,,,,,0.9
292236,0,not_ai,,,,,,,,,0.9
292247,0,not_ai,,,,,,,,,0.75
292260,0,not_ai,,,,,,,,,0.9
292271,0,not_ai,,,,,,,,,0.75
292287,0,not_ai,,,,,,,,,0.75
292292,0,not_ai,,,,,,,,,0.75
292301,0,not_ai,,,,,,,,,0.55
292305,0,not_ai,,,,,,,,,0.9
292306,0,not_ai,,,,,,,,,0.9
292313,0,not_ai,,,,,,,,,0.9
292361,0,not_ai,,,,,,,,,0.8
292362,0,not_ai,,,,,,,,,0.75
292373,0,not_ai,,,,,,,,,0.8
292390,0,not_ai,,,,,,,,,0.75
292398,0,not_ai,,,,,,,,,0.75
292399,0,not_ai,,,,,,,,,0.75
292412,0,not_ai,,,,,,,,,0.8
292425,0,not_ai,,,,,,,,,0.8
292427,0,not_ai,,,,,,,,,0.85
292448,0,not_ai,,,,,,,,,0.8
292465,0,not_ai,,,,,,,,,0.65
292473,0,not_ai,,,,,,,,,0.6
292498,0,not_ai,,,,,,,,,0.7
292501,0,not_ai,,,,,,,,,0.7
292509,0,not_ai,,,,,,,,,0.8
292510,0,not_ai,,,,,,,,,0.7
292513,0,not_ai,,,,,,,,,0.8
292514,0,not_ai,,,,,,,,,0.75
292519,0,not_ai,,,,,,,,,0.75
292543,0,not_ai,,,,,,,,,0.85
292546,0,not_ai,,,,,,,,,0.75
292552,0,not_ai,,,,,,,,,0.7
292555,0,not_ai,,,,,,,,,0.8
292557,0,not_ai,,,,,,,,,0.75
292569,0,not_ai,,,,,,,,,0.8
292575,0,not_ai,,,,,,,,,0.8
292583,0,not_ai,,,,,,,,,0.85
292584,0,not_ai,,,,,,,,,0.65
292600,0,not_ai,,,,,,,,,0.9
292605,0,not_ai,,,,,,,,,0.9
292606,0,not_ai,,,,,,,,,0.7
292625,0,not_ai,,,,,,,,,0.6
292628,0,not_ai,,,,,,,,,0.6
292630,0,not_ai,,,,,,,,,0.7
292634,0,not_ai,,,,,,,,,0.9
292637,0,not_ai,,,,,,,,,0.85
292640,0,not_ai,,,,,,,,,0.9
292642,0,not_ai,,,,,,,,,0.9
292648,0,not_ai,,,,,,,,,0.9
292655,0,not_ai,,,,,,,,,0.6
292661,0,not_ai,,,,,,,,,0.9
292674,0,not_ai,,,,,,,,,0.9
292676,0,not_ai,,,,,,,,,0.6
292704,0,not_ai,,,,,,,,,0.9
292705,0,not_ai,,,,,,,,,0.9
292721,0,not_ai,,,,,,,,,0.9
290739,0,system,,,,AI-driven vulnerability mapping (TB Mukt Bharat),"National Health Mission, Ministry of Health and Family Welfare",health,working,predictive model,0.8
290739,1,system,,,,AI-integrated handheld X-ray machines,Ministry of Health and Family Welfare,health,announced,computer vision,0.8
290749,0,system,,,,Poshan Tracker (Face Recognition System),Ministry of Women & Child Development,welfare/benefits,working,facial recognition,0.75
290749,1,system,,,,Indiahandmade (AI-powered listings),Ministry of Textiles / Digital India Corporation (DIC),other,working,not described,0.75
290798,0,system,,,,BHASHINI (Digital India BHASHINI Division),"Digital India BHASHINI Division (DIBD), Digital India Corporation, MeitY",governance/admin,working,NLP (speech and text translation),0.9
290798,1,system,,,,ShrutLekh,"Digital India BHASHINI Division (DIBD), MeitY",governance/admin,working,speech-to-text,0.9
290798,2,system,,,,Suno Sutra,"Digital India BHASHINI Division (DIBD), MeitY",governance/admin,working,edge AI device (voice/speech),0.9
290876,0,system,,,,MY Bharat AI-powered Resume Builder,Ministry of Youth Affairs and Sports (MY Bharat platform),education,working,not described,0.7
290880,0,system,,,,ICMR-MINDS (Clinical Decision Support System),"Indian Council of Medical Research (ICMR), Department of Health Research",health,working,clinical decision support system,0.75
290882,0,system,,,,e-Jagriti,"Department of Consumer Affairs, Ministry of Consumer Affairs, Food & Public Distribution",justice/legal,working,not described,0.7
290898,0,system,,,,Aarogya Setu 2.0 (AI-driven health insights),"National Health Authority, Ministry of Health & Family Welfare",health,working,predictive model,0.75
290898,1,system,,,,Aarogya Setu 2.0 (Smart Reports OCR),"National Health Authority, Ministry of Health & Family Welfare",health,working,computer vision / OCR,0.75
290909,0,system,,,,Sahakar Sahyogi,National Urban Cooperative Finance and Development Corporation (NUCFDC),tax/finance,working,chatbot,0.65
290993,0,system,,,,Poshan Tracker (Facial Recognition System),Ministry of Women and Child Development (MoWCD),welfare/benefits,working,facial recognition,0.75
291046,0,system,,,,SIDH-NCVET AI-enabled qualification identification tool,National Council for Vocational Education and Training (NCVET),education,trial,AI-enabled classification/matching tool,0.65
291174,0,system,,,,CPGRAMS (multilingual AI chatbot),Department of Administrative Reforms and Public Grievances (DARPG),governance/admin,working,chatbot,0.75
291195,0,system,,,,3 Tesla High-Field MRI system (AI-enabled workflow),"All India Institute of Ayurveda (AIIA), Ministry of Ayush",health,buying,AI-enabled medical imaging workflow,0.6
291269,0,system,,,,BHASHINI multilingual AI integration with PNB digital banking,"Punjab National Bank (PNB), in partnership with Digital India BHASHINI Division (DIBD), MeitY",tax/finance,buying,multilingual AI / language translation,0.85
291269,1,system,,,,BHASHINI (National Hub for Language Technology - NHLT),"Digital India BHASHINI Division (DIBD), Digital India Corporation (DIC), MeitY",governance/admin,working,multilingual AI / language translation & speech technology,0.85
291273,0,system,,,,AI-enabled 3 Tesla High-Field MRI facility,"All India Institute of Ayurveda (AIIA), Ministry of Ayush",health,working,AI-enabled medical imaging (MRI),0.7
291317,0,system,,,,AI-enabled Network Survey Vehicle (NSV),CSIR-Central Road Research Institute (CSIR-CRRI),transport,working,AI-enabled road survey/assessment technology,0.6
291389,0,system,,,,unnamed (NHA Health Analytics and AI Unit analytical tools),National Health Authority,health,working,data analytics / predictive model,0.6
291467,0,system,,,,NPCI UPI Fraud Monitoring Solution,National Payments Corporation of India (NPCI),tax/finance,working,predictive model (AI/ML-based fraud detection),0.8
291489,0,system,,,,"BHASHINI (App Mitra, Mitra, Pravakta)","Digital India BHASHINI Division (DIBD), Digital India Corporation, MeitY",governance/admin,working,multilingual NLP / speech recognition / translation / chatbot,0.85
291529,0,system,,,,AI-enabled chatbot on My Ayush Integrated Services Portal (MAISP),Ministry of Ayush,health,trial,chatbot,0.7
291620,0,system,,,,unnamed,India Meteorological Department (IMD) / Ministry of Earth Sciences,environment/weather,working,AI/ML-based global weather prediction model,0.8
291620,1,system,,,,Nowcasting tool,Ministry of Earth Sciences (MoES),environment/weather,working,AI/ML monitoring and observational processing tool,0.8
291656,0,system,,,,Medha AI,Ministry of Tribal Affairs (Eklavya Model Residential Schools),education,working,AI-enabled learning and teaching-support platform,0.9
291664,0,system,,,,SabhaSaar,Ministry of Panchayati Raj,governance/admin,working,AI-enabled documentation/transcription tool,0.6
291672,0,system,,,,Multi-Lane Free Flow (MLFF) ANPR/AI Tolling System,National Highways Authority of India (NHAI) / Ministry of Road Transport & Highways,transport,working,computer vision / ANPR with AI analytics,0.85
291746,0,system,,,,ASTR,Department of Telecommunications (DoT),policing/security,working,AI + big data analytics (fraud/anomaly detection),0.9
291766,0,system,,,,Machine Vision Inspection System (MVIS),Indian Railways,transport,trial,computer vision / AI-ML anomaly detection,0.85
291766,1,system,,,,Integrated Track Monitoring Systems (ITMS),Indian Railways,transport,working,machine learning / image processing (track defect detection),0.85
291772,0,system,,,,Nyaya Setu AI Chatbot,"Department of Justice, Ministry of Law & Justice",justice/legal,working,"AI chatbot (multilingual, BHASHINI-enabled)",0.85
291773,0,system,,,,Nyaya Setu AI Chatbot (VIDHI Sanjeevani integration),"Department of Justice, Ministry of Law & Justice",justice/legal,announced,AI chatbot / AI-driven assistance,0.7
291782,0,system,,,,Intelligent Traffic Management System (ITMS) / ANPR,"Integrated Command and Control Centres (ICCCs), Ministry of Housing and Urban Affairs (Smart Cities Mission)",transport,working,computer vision / ANPR (traffic management & enforcement),0.85
291782,1,system,,,,Facial Recognition System (public safety),"Integrated Command and Control Centres (ICCCs), Ministry of Housing and Urban Affairs (Smart Cities Mission)",policing/security,working,facial recognition,0.85
291788,0,system,,,,unnamed,National Highways Authority of India (NHAI),transport,working,computer vision (image screening/verification),0.6
291804,0,system,,,,Krishi Decision Support System (KDSS),Ministry of Agriculture and Farmers Welfare (Digital Agriculture Mission),agriculture,working,predictive model / decision support system (data integration & advisory),0.65
291810,0,system,,,,Facial Recognition System (FRS) in Poshan Tracker,Ministry of Women and Child Development (MWCD),welfare/benefits,working,facial recognition,0.9
291814,0,system,,,,Facial Recognition System (FRS) in Poshan Tracker,Ministry of Women and Child Development (MWCD),welfare/benefits,working,facial recognition,0.9
291815,0,system,,,,Facial Recognition System (FRS) in Poshan Tracker,Ministry of Women and Child Development (MWCD),welfare/benefits,working,facial recognition,0.9
291841,0,system,,,,AI-based CCTV Video Analytics System,Ministry of Railways / Indian Railways,policing/security,working,computer vision (video analytics),0.85
291843,0,system,,,,AI-camera Stain Detection System,"Indian Railways (Pune Division, Central Railway; Jaipur & Jodhpur Division, North Western Railway)",transport,trial,computer vision,0.85
291865,0,system,,,,National Pest Surveillance System (NPSS),Ministry of Agriculture and Farmers Welfare,agriculture,working,computer vision / predictive model (pest detection),0.85
291865,1,system,,,,AI-based Monsoon and Weather Advisory,India Meteorological Department (IMD),agriculture,working,predictive model (weather forecasting AI),0.85
291865,2,system,,,,BharatVistaar,Ministry of Agriculture and Farmers Welfare (Digital Agriculture Mission),agriculture,working,chatbot / LLM (multilingual DPI),0.85
291906,0,system,,,,Nyaya Setu AI Chatbot,"Department of Justice, Ministry of Law & Justice",justice/legal,working,"LLM / chatbot (Generative AI, Retrieval-Augmented Generation)",0.7
291908,0,system,,,,Legal Research Analysis Assistant (LegRAA),"e-Committee, Supreme Court of India / Department of Justice (eCourts Project)",justice/legal,trial,NLP / legal research assistant,0.65
291958,0,system,,,,NeVA (National e-Vidhan Application) BHASHINI translation integration,Ministry of Parliamentary Affairs / State Legislatures (NeVA project),governance/admin,working,machine translation (AI),0.55
291967,0,system,,,,Gyan Mitram,Ministry of Culture,other,working,"LLM / knowledge interface (OCR, HTR, semantic search)",0.85
291967,1,system,,,,BharatiyaGPT,Ministry of Culture,other,working,LLM / conversational AI,0.85
291967,2,system,,,,Pandulipi Darpan,Ministry of Culture,other,working,"computer vision / OCR (script recognition, transliteration)",0.85
291968,0,system,,,,Gandhipedia,"National Council of Science Museums (NCSM), in collaboration with IIT Kharagpur & IIT Gandhinagar",other,working,not described,0.5
292000,0,system,,,,BHASHINI,"Digital India BHASHINI Division (DIBD), Ministry of Electronics and Information Technology (MeitY)",governance/admin,working,"NLP / machine translation (ASR, NMT, TTS, OCR language AI suite)",0.85
292013,0,system,,,,WINGS Mobile Application,"National Centre for Medium Range Weather Forecasting (NCMRWF), Ministry of Earth Sciences",environment/weather,working,predictive model (AI/ML weather prediction),0.65
292013,1,system,,,,Sagar Prahari App,"National Centre for Coastal Research (NCCR), Ministry of Earth Sciences",environment/weather,working,computer vision (automatic marine litter identification),0.65
292016,0,system,,,,CaTRAT (Camera Trap Data Repository and Analysis Tool),"National Tiger Conservation Authority (NTCA), Ministry of Environment, Forest and Climate Change",environment/weather,working,computer vision (image classification),0.65
292016,1,system,,,,ExtractCompare,"National Tiger Conservation Authority (NTCA), Ministry of Environment, Forest and Climate Change",environment/weather,working,computer vision (individual identification via pattern matching),0.65
292039,0,system,,,,CERT-In AI-driven situational awareness system,CERT-In (Indian Computer Emergency Response Team),policing/security,working,threat/anomaly detection (AI-driven),0.7
292150,0,system,,,,AI-powered chatbots and virtual assistants (Ayush Grid),Ministry of Ayush,health,working,chatbot / virtual assistant,0.8
292157,0,system,,,,AI-based Segmentation Module (SPECTA platform),CSC e-Governance Service India Limited,governance/admin,working,machine learning classification/LLM,0.85
292168,0,system,,,,AI-powered chatbots and virtual assistants (Ayush Grid),Ministry of Ayush,health,working,chatbot / virtual assistant,0.85
292171,0,system,,,,AI-enabled chatbot (Beta) – MAISP portal,Ministry of Ayush,health,trial,chatbot,0.75
292178,0,system,,,,unnamed,India Meteorological Department (IMD) and Central Water Commission (CWC),environment/weather,working,predictive model,0.75
292187,0,system,,,,IndiaAI Face Authentication Challenge system,Union Public Service Commission (UPSC),governance/admin,trial,facial recognition,0.7
292187,1,system,,,,IndiaAI Intelligent Document Processing (IDP) system,Union Public Service Commission (UPSC),governance/admin,trial,document processing/NLP,0.7
292187,2,system,,,,CyberGuard AI cybercrime classification solution,Indian Cyber Crime Coordination Centre (I4C),policing/security,working,classification model/NLP,0.7
292187,3,system,,,,PMJAY Auto Adjudication AI framework,National Health Authority (NHA),health,trial,predictive model,0.7
292187,4,system,,,,CDSCO-IndiaAI regulatory automation system,Central Drugs Standard Control Organisation (CDSCO),health,announced,NLP/document automation,0.7
292258,0,system,,,,unnamed,National Council of Educational Research and Training (NCERT),education,working,machine translation/NLP,0.65
292261,0,system,,,,DIKSHA,Ministry of Education / NCERT,education,working,personalized learning/recommendation system,0.8
292268,0,system,,,,AI-enabled handheld X-ray units,National Health Mission / Ministry of Health and Family Welfare,health,working,computer vision,0.7
292300,0,system,,,,"Pangu Weather, FourCastNet, GraphCast (AI global weather models)",Ministry of Earth Sciences (MoES) / India Meteorological Department,environment/weather,working,predictive model,0.85
292300,1,system,,,,Nowcasting tool,MoES-institutions,environment/weather,working,predictive model,0.85
292302,0,system,,,,unnamed,Central Water Commission (CWC),environment/weather,working,predictive model,0.8
292302,1,system,,,,unnamed,India Meteorological Department (IMD),environment/weather,working,predictive model,0.8
292307,0,system,,,,AI-driven situational awareness system,Indian Computer Emergency Response Team (CERT-In),policing/security,working,anomaly/threat detection model,0.85
292307,1,system,,,,AI-enabled vulnerability assessment tool,Indian Computer Emergency Response Team (CERT-In),policing/security,working,vulnerability assessment model,0.85
292314,0,system,,,,Gyan Bharatam Web Portal (with Gyan Mitram and BharatiyaGPT),Government of India (Gyan Bharatam Mission),other,working,LLM/OCR/NLP (manuscript AI),0.75
292333,0,system,,,,AI for Ultrasound (AI for USG),"Department of Biotechnology, in collaboration with Bill & Melinda Gates Foundation (Grand Challenges India)",health,trial,computer vision,0.65
292342,0,system,,,,Ganga Knowledge Portal (GyanGanga),National Mission for Clean Ganga (NMCG),environment/weather,working,not described,0.55
292347,0,system,,,,unnamed,Union Public Service Commission (UPSC),governance/admin,working,not described,0.6
292387,0,system,,,,unnamed,"National Testing Agency / public examination agencies (UPSC, SSC, NTA)",education,working,facial recognition,0.55
292405,0,system,,,,Legal Research Analysis Assistant (LegRAA),"eCommittee, Supreme Court of India / NIC Centre of Excellence for eCourts",justice/legal,trial,AI research/document analysis tool (NLP),0.9
292405,1,system,,,,Digital Courts 2.1,"eCommittee, Supreme Court of India / NIC Centre of Excellence for eCourts",justice/legal,trial,speech-to-text / translation (NLP),0.9
292486,0,system,,,,unnamed,Ministry of Petroleum & Natural Gas (National Data Repository),other,announced,not described,0.65
292488,0,system,,,,unnamed,"Ministry of Home Affairs / security forces (CRPF, DRG, CoBRA)",policing/security,working,data analytics / surveillance analysis,0.65
292577,0,system,,,,e-Sigma platform AI-enabled chatbot,Ministry of Statistics and Programme Implementation (MoSPI),governance/admin,working,chatbot,0.55
292592,0,system,,,,unnamed,"Indian Museum, Kolkata (with IIT Kharagpur)",other,working,computer vision / AI-based restoration model,0.6
292592,1,system,,,,unnamed,"Indian Museum, Kolkata",other,working,AI-based interactive / AR visitor-engagement tool,0.6
292593,0,system,,,,MuleHunter,Reserve Bank of India (RBI),tax/finance,working,AI-based fraud/anomaly detection model,0.8
292593,1,system,,,,India Digital Payment Intelligence Corporation (IDPIC),Government of India / Reserve Bank of India,tax/finance,working,AI / Machine Learning / Big Data Analytics for fraud intelligence sharing,0.8
292595,0,system,,,,Khelo India Rising Talent Identification (KIRTI),Ministry of Youth Affairs and Sports,other,working,AI and data analytics for talent assessment,0.65
292603,0,system,,,,unnamed,National Data Repository (Directorate General of Hydrocarbons / Ministry of Petroleum and Natural Gas),other,announced,AI tools for seismic data reprocessing/interpretation,0.55
292607,0,system,,,,Network Survey Vehicle (NSV),CSIR-Central Road Research Institute (CSIR-CRRI),transport,working,AI-enabled data analytics for pavement distress mapping,0.65
292654,0,system,,,,AI-Based Suspected Spam Flagging System,"Telecom Service Providers (TSPs), under DoT's regulated UCC framework",governance/admin,working,AI-based calling-pattern analytics for spam detection,0.6
292686,0,system,,,,unnamed,C-DAC and Geological Survey of India (GSI),other,announced,AI + HPC for geophysical data processing / predictive modelling,0.55
292725,0,system,,,,National Career Service (NCS) Portal,Ministry of Labour & Employment,welfare/benefits,working,AI-powered job matching / skill-gap analysis / recommendation / interview coach,0.6
