relid,release_date,title,url,system_name,deploying_body,application_domain,lifecycle_stage,technology_type,beneficiary_scale,budget_mentioned,use_case_given,mention_type,confidence,evidence_quote
291269,2026-07-15,Digital India BHASHINI Division (DIBD) and Punjab National Bank (PNB) Sign MoU to Advance Multilingual AI for Inclusive Banking,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291269,BHASHINI multilingual AI integration with PNB digital banking,"Punjab National Bank (PNB), in partnership with Digital India BHASHINI Division (DIBD), MeitY",tax/finance,buying,multilingual AI / language translation,not described,none,1,AI system,0.85,The collaboration aims to leverage BHASHINI's indigenous multilingual AI ecosystem to enable language-inclusive banking services by integrating AI-powered language technologies across PNB's digital banking ecosystem.
291269,2026-07-15,Digital India BHASHINI Division (DIBD) and Punjab National Bank (PNB) Sign MoU to Advance Multilingual AI for Inclusive Banking,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291269,BHASHINI (National Hub for Language Technology - NHLT),"Digital India BHASHINI Division (DIBD), Digital India Corporation (DIC), MeitY",governance/admin,working,multilingual AI / language translation & speech technology,800+ government websites; 8+ billion AI inferences enabled; 20+ million AI inferences processed daily,none,1,AI system,0.85,"Through the National Hub for Language Technology (NHLT), BHASHINI powers 800+ government websites, has enabled 8+ billion AI inferences, processes 20+ million AI inferences daily, and supports 36 Indian text languages, 23 Indian voice languages, and 35 international languages."
291273,2026-07-15,President of India Smt. Droupadi Murmu inaugurates 'Saushrutam 2026'; calls for integration of traditional wisdom with modern science to strengthen evidence-based Ayurveda,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291273,AI-enabled 3 Tesla High-Field MRI facility,"All India Institute of Ayurveda (AIIA), Ministry of Ayush",health,working,AI-enabled medical imaging (MRI),not described,none,1,Talk,0.7,"The newly inaugurated AI-enabled 3 Tesla High-Field MRI facility will significantly strengthen diagnostic services at AIIA, facilitate integrative research between Ayurveda and modern medicine, and provide affordable, high-quality imaging services to patients."
291317,2026-07-16,CSIR-Central Road Research Institute (CSIR-CRRI) today commenced its year-long Platinum Jubilee Celebrations with the launch of a nationwide first-phase implementation of advanced indigenous road infrastructure technologies across 16 towns or locations across the country.,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291317,AI-enabled Network Survey Vehicle (NSV),CSIR-Central Road Research Institute (CSIR-CRRI),transport,working,AI-enabled road survey/assessment technology,not described,none,1,Talk,0.6,"He inaugurated the AI-enabled Network Survey Vehicle (NSV) for comprehensive road infrastructure assessment and dedicated the PATCH-FILL pothole repair technology, reinforcing the Institute's efforts towards smarter, safer and environmentally sustainable road infrastructure."
291389,2026-07-18,NHA Concludes Two-Day National Review Meeting on AB PM-JAY and ABDM; Centre and States Chart Roadmap for the Next Phase of Health Reforms,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291389,unnamed (NHA Health Analytics and AI Unit analytical tools),National Health Authority,health,working,data analytics / predictive model,not described,none,1,Talk,0.6,"The presentations demonstrated new analytical frameworks for beneficiary portability, district-level accessibility, hospital activity and healthcare utilisation, enabling States to identify service gaps, optimise hospital empanelment strategies and improve healthcare delivery through data-driven planning."
291467,2026-07-20,Government and RBI Strengthen Fintech Ecosystem with Enhanced Regulatory Frameworks & Consumer Protection Actions,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291467,NPCI UPI Fraud Monitoring Solution,National Payments Corporation of India (NPCI),tax/finance,working,predictive model (AI/ML-based fraud detection),all banks on UPI,none,1,Policy,0.8,National Payment Corporation of India (NPCI) provides a fraud monitoring solution to all the banks to generate alerts and decline transactions by using Artificial Intelligence (AI)/Machine Learning (ML) based models for Unified Payments Interface (UPI) transactions.
291489,2026-07-21,Digital India BHASHINI Division Brings ‘BHASHINI Rajyam’ to Goa to Advance AI-Powered Governance in Konkani and Indian Languages,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291489,"BHASHINI (App Mitra, Mitra, Pravakta)","Digital India BHASHINI Division (DIBD), Digital India Corporation, MeitY",governance/admin,working,multilingual NLP / speech recognition / translation / chatbot,800+ government websites; 20+ million AI inferences daily,none,1,AI system,0.85,"BHASHINI powers 800+ government websites, has enabled 8+ billion AI inferences, processes 20+ million AI inferences daily, and supports 36 Indian text languages, 23 Indian voice languages and 35 international languages, making Digital Public Infrastructure more accessible through language AI."
291529,2026-07-21,“Progress achieved under digital initiative”,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291529,AI-enabled chatbot on My Ayush Integrated Services Portal (MAISP),Ministry of Ayush,health,trial,chatbot,not described,none,1,Policy,0.7,An AI-enabled chatbot (Beta version) has also been deployed to assist visitors and enhance user experience.
291620,2026-07-22,PARLIAMENT QUESTION: IMPLEMENTATION OF MISSION MAUSAM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291620,unnamed,India Meteorological Department (IMD) / Ministry of Earth Sciences,environment/weather,working,AI/ML-based global weather prediction model,not described,none,1,AI system,0.8,Currently three AI based global models are regularly operational to provide guidance to the forecaster to predict severe weather.
291620,2026-07-22,PARLIAMENT QUESTION: IMPLEMENTATION OF MISSION MAUSAM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291620,Nowcasting tool,Ministry of Earth Sciences (MoES),environment/weather,working,AI/ML monitoring and observational processing tool,not described,none,1,AI system,0.8,"Artificial Intelligence (AI) and Machine Learning (ML) applications and tools have been developed indigenously by weather scientist of MoES organization on various aspects of monitoring and observational processing such as Nowcasting tool, downscaled urban forecasting etc."
291656,2026-07-22,IMPLEMENTATION OF AI-ENABLED ACADEMIC SUPPORT IN EMRSs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291656,Medha AI,Ministry of Tribal Affairs (Eklavya Model Residential Schools),education,working,AI-enabled learning and teaching-support platform,all functional EMRSs nationwide,none,1,AI system,0.9,"The platform will help teachers to prepare lesson plans, presentations, assessments, question banks, and other teaching materials more efficiently."
291664,2026-07-22,DIGITAL TRANSFORMATION OF PANCHAYATI RAJ INSTITUTIONS (PRI),https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291664,SabhaSaar,Ministry of Panchayati Raj,governance/admin,working,AI-enabled documentation/transcription tool,not described,none,1,AI system,0.6,"The applications developed under the e-Panchayat Mission Mode Project (MMP), namely eGramSwaraj, Meri Panchayat, Panchayat NIRNAY, AuditOnline and SabhaSaar, promote transparency and accountability by providing public access to Panchayat information, facilitating transparent Gram Sabha proceedings, enabling online audit of Panchayat accounts, and supporting AI-enabled documentation of meetings."
291672,2026-07-22,FASTAG BASED TOLL COLLECTION AND DIGITAL TOLLING SYSTEM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291672,Multi-Lane Free Flow (MLFF) ANPR/AI Tolling System,National Highways Authority of India (NHAI) / Ministry of Road Transport & Highways,transport,working,computer vision / ANPR with AI analytics,5 fee plazas live; awarded for 17 plazas; bids invited for 104 more,none,1,AI system,0.85,"Multi-Lane Free Flow based barrier less tolling using existing FASTag (RFID)+ANPR/AI- Technology has been awarded on 17 fee plazas as per Annexure A. Out of 17 awarded fee plazas, 05 fee plazas have already gone Live i.e., Choryasi Fee Plaza (Surat, Gujarat); Mundka Fee Plaza (Delhi); Gharaunda Fee Plaza (Haryana); Manoharpura Fee Plaza (Rajasthan); Daulatpura Fee Plaza (Rajasthan)."
291746,2026-07-23,Measures Taken to Tackle Cyber Frauds,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291746,ASTR,Department of Telecommunications (DoT),policing/security,working,AI + big data analytics (fraud/anomaly detection),88 lakh+ mobile connections disconnected after failing reverification,none,1,AI system,0.9,"Department of Telecommunications (DoT) has developed ASTR which is an artificial intelligence and big data analytics tool that identifies suspicious mobile connections. As on 15.7.2026, more than 88 lakh such mobile connections have been disconnected after failing reverification."
291766,2026-07-23,"Indian Railways Focused on Providing Affordable, High-Quality and Passenger-Centric Rail Services to All Sections of Society",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291766,Machine Vision Inspection System (MVIS),Indian Railways,transport,trial,computer vision / AI-ML anomaly detection,not described,none,1,AI system,0.85,"Machine Vision Inspection System (MVIS): MVIS is an Artificial Intelligence (AI)/ Machine Learning (ML) based system which generates alert on detecting any hanging, loose or missing components of moving trains."
291766,2026-07-23,"Indian Railways Focused on Providing Affordable, High-Quality and Passenger-Centric Rail Services to All Sections of Society",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291766,Integrated Track Monitoring Systems (ITMS),Indian Railways,transport,working,machine learning / image processing (track defect detection),4 ITMS units deployed,none,1,AI system,0.85,Presently four (04) ITMS are deployed for track recording and monitoring of IR track.
291772,2026-07-23,LEGAL REFORMS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291772,Nyaya Setu AI Chatbot,"Department of Justice, Ministry of Law & Justice",justice/legal,working,"AI chatbot (multilingual, BHASHINI-enabled)",not described,none,1,AI system,0.85,"Nyaya Setu AI Chatbot facilitates automated query handling, structured data capture, and multilingual interaction support through BHASHINI-enabled functionalities, ensuring language is not a barrier to justice-related services."
291773,2026-07-23,EFFECTIVENESS OF FREE LEGAL AID IN JAMMU & KASHMIR,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291773,Nyaya Setu AI Chatbot (VIDHI Sanjeevani integration),"Department of Justice, Ministry of Law & Justice",justice/legal,announced,AI chatbot / AI-driven assistance,"VIDHI Sanjeevani envisages outreach to 50 lakh beneficiaries over a period of five years i.e., 2026-31.",none,1,AI system,0.7,It envisages integration with the Nyaya Setu AI Chatbot to facilitate technology-enabled service support and improve user interaction through AI-driven assistance mechanisms.
291782,2026-07-23,ROLE OF INTEGRATED COMMAND AND CONTROL CENTRES IN SMART CITIES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291782,Intelligent Traffic Management System (ITMS) / ANPR,"Integrated Command and Control Centres (ICCCs), Ministry of Housing and Urban Affairs (Smart Cities Mission)",transport,working,computer vision / ANPR (traffic management & enforcement),all 100 Smart Cities,none,1,AI system,0.85,Automatic Number Plate Recognition (ANPR) for traffic management and enforcement
291782,2026-07-23,ROLE OF INTEGRATED COMMAND AND CONTROL CENTRES IN SMART CITIES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291782,Facial Recognition System (public safety),"Integrated Command and Control Centres (ICCCs), Ministry of Housing and Urban Affairs (Smart Cities Mission)",policing/security,working,facial recognition,all 100 Smart Cities,none,1,AI system,0.85,facial recognition systems for enhanced public safety and crowd monitoring technologies to manage large gatherings and ensure citizen security.
291788,2026-07-23,NHAI Extends ‘Clean Toilet Picture Challenge’ till 30th June 2027,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291788,unnamed,National Highways Authority of India (NHAI),transport,working,computer vision (image screening/verification),not described,none,1,AI system,0.6,"All entries are subject to verification through AI-assisted screening and manual validation, wherever required."
291804,2026-07-24,"Saving Soil, Securing Farms",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291804,Krishi Decision Support System (KDSS),Ministry of Agriculture and Farmers Welfare (Digital Agriculture Mission),agriculture,working,predictive model / decision support system (data integration & advisory),not described,none,1,AI system,0.65,"Under the Digital Agriculture Mission , platforms such as the Krishi Decision Support System (KDSS) integrate soil, weather, and crop data. These platforms generate location-specific advisories for crop planning and nutrient management."
291810,2026-07-24,‘Poshan Tracker’ digital application is an important governance tool for real time monitoring and tracking under Mission Saksham Anganwadi and Poshan 2.0,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291810,Facial Recognition System (FRS) in Poshan Tracker,Ministry of Women and Child Development (MWCD),welfare/benefits,working,facial recognition,99.88% of registered beneficiaries Aadhaar verified nationwide (all Anganwadi Centres),none,1,AI system,0.9,"For last mile tracking of Service Delivery, Ministry of Women and Child Development (MWCD) has developed Facial Recognition System (FRS) in Poshan Tracker Application for distribution of Take-Home Ration (THR) to ensure that benefit is given only to the intended beneficiary registered in Poshan Tracker."
291814,2026-07-24,Ministry of Women and Child Development launched Mission Saksham Anganwadi and Poshan 2.0 to improve nutritional outcomes among children from 0-6 years,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291814,Facial Recognition System (FRS) in Poshan Tracker,Ministry of Women and Child Development (MWCD),welfare/benefits,working,facial recognition,not described,none,1,AI system,0.9,"For last mile tracking of service delivery, Facial Recognition System (FRS) has been introduced in Poshan Tracker app for distribution of Take-Home Ration to ensure that beneﬁt is given only to the intended beneﬁciary registered in Poshan Tracker."
291815,2026-07-24,"Under Mission Saksham Anganwadi and Poshan 2.0, a package of six services are provided to eligible beneficiaries through Anganwadi Centres across the country",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291815,Facial Recognition System (FRS) in Poshan Tracker,Ministry of Women and Child Development (MWCD),welfare/benefits,working,facial recognition,99.88% of registered beneficiaries Aadhaar verified nationwide (all Anganwadi Centres),none,1,AI system,0.9,"For last mile tracking of Service Delivery, Ministry of Women and Child Development (MWCD) has developed Facial Recognition System (FRS) in Poshan Tracker Application for distribution of Take-Home Ration (THR) to ensure that benefit is given only to the intended beneficiary registered in Poshan Tracker."
291841,2026-07-24,"CCTV Surveillance Systems Provided at 3,215 Railway Stations and 13,409 Passenger Coaches to Strengthen Passenger Safety and Security",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291841,AI-based CCTV Video Analytics System,Ministry of Railways / Indian Railways,policing/security,working,computer vision (video analytics),"3,215 railway stations and 13,409 passenger coaches",none,1,AI system,0.85,"The installed CCTV cameras at stations are equipped with AI-based video analytics features, such as intrusion detection, loitering detection and fallen person detection."
291843,2026-07-24,"Indian Railways Initiates AI-based Stain Detection Pilot Project in Laundries at Pune, Jaipur & Jodhpur Divisions to Enhance Quality of Washed Linen",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291843,AI-camera Stain Detection System,"Indian Railways (Pune Division, Central Railway; Jaipur & Jodhpur Division, North Western Railway)",transport,trial,computer vision,not described,none,1,AI system,0.85,"Indian Railways has also initiated the pilot project of using automated AI-camera stain detection technology in laundries at Pune Division, Central Railway and Jaipur & Jodhpur division, North Western Railway for ascertaining the quality of washed linen."
291865,2026-07-24,PROMOTION OF AI USE IN AGRICULTURE AND IMPACT ASSESSMENT,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291865,National Pest Surveillance System (NPSS),Ministry of Agriculture and Farmers Welfare,agriculture,working,computer vision / predictive model (pest detection),"used by over 10,000 extension workers; supports 73 crops over 436 pests",none,1,AI system,0.85,"This system tackles the loss of produce due to climate change, utilizes AI and Machine Learning to detect pest infestation in crop issues, enabling timely intervention for healthier crops."
291865,2026-07-24,PROMOTION OF AI USE IN AGRICULTURE AND IMPACT ASSESSMENT,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291865,AI-based Monsoon and Weather Advisory,India Meteorological Department (IMD),agriculture,working,predictive model (weather forecasting AI),approximately 5.28 crore farmers,none,1,AI system,0.85,The India Meteorological Department (IMD) provides AI-based monsoon and weather advisories to support informed agricultural decision-making.
291865,2026-07-24,PROMOTION OF AI USE IN AGRICULTURE AND IMPACT ASSESSMENT,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291865,BharatVistaar,Ministry of Agriculture and Farmers Welfare (Digital Agriculture Mission),agriculture,working,chatbot / LLM (multilingual DPI),served over 3 lakh farmers and addressed more than 72 lakh farmer queries,none,1,AI system,0.85,BharatVistaar (Virtually Integrated System to Access Agricultural Resources) is a multilingual Artificial Intelligence (AI)-powered Digital Public Infrastructure (DPI) for Agriculture.
292168,2026-07-24,Use of Artificial Intelligence in AYUSH System,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292168,AI-powered chatbots and virtual assistants (Ayush Grid),Ministry of Ayush,health,working,chatbot / virtual assistant,not described,none,1,AI system,0.85,"Further, the Ministry of Ayush has deployed AI-powered chatbots and virtual assistants in MAISP portal, Yoga Portal, eLMS portal, Ayush research Portal, e- Charak and Ayush Nivesh Saarthi under the Ayush Grid initiative to strengthen traditional medicine systems and improve citizen-centric services."
292171,2026-07-24,Digital Initiatives and AYUSH Grid,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292171,AI-enabled chatbot (Beta) – MAISP portal,Ministry of Ayush,health,trial,chatbot,not described,none,1,AI system,0.75,An AI-enabled chatbot (Beta version) has also been deployed to assist visitors and enhance user experience.
291906,2026-07-25,Centre Launches DISHA 2.0 with ?255 Crore Outlay to Expand Technology-Driven Access to Justice Across India.,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291906,Nyaya Setu AI Chatbot,"Department of Justice, Ministry of Law & Justice",justice/legal,working,"LLM / chatbot (Generative AI, Retrieval-Augmented Generation)",VIDHI Sanjeevani envisages overall outreach to 50 lakh beneficiaries over 2026-31,none,1,Policy,0.7,"The Generative AI powered multilingual and multi-model Nyaya Setu chatbot platform was launched on 29 th March, 2026."
291908,2026-07-25,Government Accelerates Digital Transformation of Judiciary Under eCourts Phase III to Reduce Case Pendency,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291908,Legal Research Analysis Assistant (LegRAA),"e-Committee, Supreme Court of India / Department of Justice (eCourts Project)",justice/legal,trial,NLP / legal research assistant,not described,none,1,Policy,0.65,An AI based software tool called Legal Research Analysis Assistant [LegRAA] has been developed to aid judges in legal research and document analysis.
291958,2026-07-27,33 out of the 37 State/UT Legislatures have signed MoUs for the implementation of the National e-Vidhan Application,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291958,NeVA (National e-Vidhan Application) BHASHINI translation integration,Ministry of Parliamentary Affairs / State Legislatures (NeVA project),governance/admin,working,machine translation (AI),21 Legislative Houses transformed into digital Legislatures under NeVA,none,1,AI system,0.55,"Integration with BHASHINI has enabled text-to-text translation of public portal content, improving linguistic accessibility."
291967,2026-07-27,Gyan Bharatam Mission and Manuscript Digitisation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291967,Gyan Mitram,Ministry of Culture,other,working,"LLM / knowledge interface (OCR, HTR, semantic search)",not described,none,1,AI system,0.85,"Gyan Mitram, the AI-powered knowledge interface of the Gyan Bharatam Web Portal uses LLSM, OCR, HTR, script recognition, semantic search and machine-assisted translation to enable intelligent interpretation, contextualization and exploration of manuscripts by integrating manuscript images, transcriptions and translations."
291967,2026-07-27,Gyan Bharatam Mission and Manuscript Digitisation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291967,BharatiyaGPT,Ministry of Culture,other,working,LLM / conversational AI,not described,none,1,AI system,0.85,"BharatiyaGPT, features “Manuscript-to-Conversational AI” on Gyan Bharatam Web Portal converting manuscript heritage into AI-ready, machine-readable knowledge and provides a multilingual and multimodal access, including text, audio and voice-based interaction through its “Talk to Manuscript” feature, thereby making India’s knowledge traditions more accessible to scholars, students, researchers and the public."
291967,2026-07-27,Gyan Bharatam Mission and Manuscript Digitisation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291967,Pandulipi Darpan,Ministry of Culture,other,working,"computer vision / OCR (script recognition, transliteration)",not described,none,1,AI system,0.85,"Pandulipi Darpan is an AI driven tool on Gyan Bharatam Web Portal that enables users to upload or select a digitized manuscript image and access AI-assisted script recognition, transliteration and translation."
291968,2026-07-27,“MUSEUMS AND MEMORIALS ON INDIAN FREEDOM MOVEMENT”,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=291968,Gandhipedia,"National Council of Science Museums (NCSM), in collaboration with IIT Kharagpur & IIT Gandhinagar",other,working,not described,not described,none,1,AI system,0.5,"‘Gandhipedia’ is an AI-enabled digital repository and interactive web portal dedicated to the life, philosophy and complete literature of Mahatma Gandhi."
