relid,release_date,ministry,title,discovered_by_term,discovered_in_round,n_terms,all_matched_terms,url
252139,2024-01-07,Ministry of Human Resource Development,Year End Review – Department of School Education& Literacy,artificial intelligence,0,4,artificial intelligence | smart | Automobile | based video,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252139
252140,2024-01-07,Prime Minister's Office,PM to visit Gujarat from 8-10 January,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252140
252141,2024-01-07,Ministry of Defence,IDEX- DIO to participate in the upcoming tenth edition of Vibrant Gujarat Global Summit 2024,AI,0,4,AI | ML | artificial intelligence | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252141
252145,2024-01-07,Ministry of Finance,"29,273 bogus firms involved in suspected Input Tax Credit (ITC) evasion of Rs. 44,015 crore detected in a sustained drive against non-existent taxpayers by GST formations across the country since May 2023; 121 arrested",analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252145
252180,2024-01-08,Ministry of Defence,CHIEF OF THE AIR STAFF VISITS DG NCC RDC CAMP-2024,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252180
252185,2024-01-08,Ministry of Panchayati Raj,Ministry of Panchayati Raj will put up a Stall for exhibiting ‘Smart Panchayat’ at the Vibrant Gujarat Global Trade Show-2024 during 9th – 12th January 2024,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252185
252207,2024-01-09,"Ministry of Personnel, Public Grievances & Pensions","A two-week training programme on Public Policy and Governance for Civil Servants of Cambodia inaugurated today at NCGG, Mussoorie",smart,0,2,smart | Smart City,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252207
252218,2024-01-09,Ministry of Social Justice & Empowerment,International Purple Fest Drives Empowerment in Inclusive Education and Assistive Technology,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252218
252223,2024-01-10,Prime Minister's Office,Global business leaders hail PM’s vision at 10th edition of Vibrant Gujarat Global Summit,AI,0,3,AI | Automobile | generative,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252223
252224,2024-01-10,Ministry of Textiles,Ministry of Textiles organizing hackathon on “Fostering Innovations in Technical Textiles –Hackathon for unleashing creativity in technical textiles” under “BHARAT TEX 2024”,smart,0,2,smart | unleashing,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252224
252226,2024-01-10,Prime Minister's Office,PM inaugurates 10th edition of Vibrant Gujarat Global Summit,AI,0,3,AI | smart | Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252226
252227,2024-01-10,Ministry of Tribal Affairs,Year End Review 2023: Ministry of Tribal Affairs,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252227
252228,2024-01-10,Prime Minister's Office,"English rendering of PM’s address at the inauguration of Vibrant Gujarat Summit 2024 in Gandhinagar, Gujarat",AI,0,3,AI | smart | Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252228
252232,2024-01-10,Ministry of Defence,Collaborative efforts of BEL and domestic start-ups will contribute to Aatmnirbharta in Defence Production,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252232
252233,2024-01-10,Ministry of Science & Technology,"Delegation led by Jawaharlal Nehru University Vice Chancellor, Prof. Santishree Dhulipudi Pandit calls on Union S&T Minister Dr Jitendra Singh",whole of science,1,1,whole of science,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252233
252236,2024-01-10,"Ministry of Personnel, Public Grievances & Pensions","A two- week Capacity Building Programme (CBP) for Officers of Jammu and Kashmir Administrative Services inaugurated at NCGG, Mussoorie",artificial intelligence,0,3,artificial intelligence | smart | Smart City,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252236
252244,2024-01-10,Prime Minister's Office,Prime Minister meets the Prime Minister of the Czech Republic on the sidelines of the 10th Vibrant Gujarat Summit 2024,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252244
252248,2024-01-10,Ministry of Rural Development,"Additional Secretary, DAY-NRLM Shri Charanjit Singh and SBI Chief General Manager Shri Shantanu Pendsey signs MoU today on ‘Svyam Siddha’- SBI’s Financial Product to finance SHG Women led Enterprises in Rural India",like fundamentals,1,1,like fundamentals,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252248
252251,2024-01-10,Ministry of Commerce & Industry,Seminar on PM GatiShakti: Informed Decision-Making for Holistic Development at 10th Vibrant Gujarat Summit,AI,0,2,AI | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252251
252265,2024-01-11,Ministry of Communications,TRAI releases report on drive tests conducted at 20 locations to assess mobile network quality,analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252265
252283,2024-01-11,NITI Aayog,NITI Aayog organises National Workshop on “Strengthening Mental Health Services and Care in India”: An initiative under State Support Mission (SSM),addressing mental health,1,2,addressing mental health | addressing mental,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252283
252285,2024-01-11,Ministry of Social Justice & Empowerment,Historic Initiatives Unveiled for Persons with Disabilities,digital skill training,1,1,digital skill training,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252285
252292,2024-01-12,"Ministry of Personnel, Public Grievances & Pensions","20th Report on Central Ministries/Departments performance on CPGRAMS released by DARPG for the month of December, 2023",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252292
252293,2024-01-12,"Ministry of Personnel, Public Grievances & Pensions","17th Report on States/Union Territories performance on CPGRAMS released by DARPG for the month of December, 2023",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252293
252294,2024-01-12,Ministry of Defence,DRDO conducts successful flight-test of New Generation AKASH missile off Odisha coast,communication system,1,1,communication system,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252294
252295,2024-01-12,Ministry of Communications,Chief of Defence Staff (CDS) General Anil Chauhan visited C-DOT,communication system,1,1,communication system,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252295
252301,2024-01-12,Prime Minister's Office,"PM performs darshan and puja in Shree Kalaram Mandir, Nashik, Maharashtra",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252301
252304,2024-01-12,Prime Minister's Office,"English rendering of PM’s address at the inauguration of 27th National Youth Festival in Nashik, Maharashtra",stick,1,1,stick,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252304
252307,2024-01-12,Ministry of Housing and Urban Poverty Alleviation,"Transformational interventions undertaken to develop urban infrastructure and strengthen urban governance, since 2014: Hardeep S Puri",smart,0,2,smart | cities mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252307
252325,2024-01-12,"Ministry of Fisheries, Animal Husbandry & Dairying","Union Secretary, Dr. Abhilaksh Likhi, chairs a virtual interaction meeting with Startups and entrepreneurs of the Fisheries and Aquaculture sectors to discuss the ecosystem of fisheries startup",address various challenges,1,1,address various challenges,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252325
252326,2024-01-12,Ministry of Electronics & IT,"“The financial sector is the catalyst, the foundation & fuel for an economy that is reimagining its ambitions”: MoS Rajeev Chandrasekhar",safe and trusted,1,1,safe and trusted,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252326
252332,2024-01-12,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah addresses the closing ceremony of Vibrant Gujarat Global Summit in Gandhinagar, Gujarat today",Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252332
252359,2024-01-14,Ministry of Science & Technology,Face to Face with New Frontiers of Science and Technology offers an exciting opportunity to the youth of the Nation to lead India’s advancements in S&T,AI,0,3,AI | artificial intelligence | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252359
252365,2024-01-14,Ministry of Science & Technology,State-of-art AI supported Telemedicine Mobile Clinic launched for remote hilly areas in Udhampur,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252365
252367,2024-01-14,Prime Minister's Office,PM to visit Andhra Pradesh and Kerala on 16th-17th January,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252367
252381,2024-01-15,Vice President's Secretariat,Text of the Vice-President’s Address at inaugural ceremony of celebrations to mark 150 years of India Meteorological Department (excerpts),AI,0,7,AI | artificial intelligence | intelligent | analytics | machine learning | big data | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252381
252387,2024-01-15,Vice President's Secretariat,VP urges corporate leaders to handhold institutions to promote R&D in technology,artificial intelligence,0,4,artificial intelligence | intelligent | machine learning | big data,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252387
252390,2024-01-15,Ministry of Railways,RPF recovered stolen railway property worth Rs. 12.48 Crores with arrest of 12099 offenders in 2023,enhancing the safety,1,1,enhancing the safety,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252390
252392,2024-01-15,Ministry of Heavy Industries & Public Enterprises,"Ministry of Heavy Industries to organise an Auto PLI Conclave tomorrow to discuss and highlight the salient features of the PLI Scheme for Automobile and Auto Component Industry,",Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252392
252393,2024-01-15,Ministry of Defence,Govt’s unwavering resolve is to strengthen the Armed Forces & ensure ex-servicemen welfare: Raksha Mantri Shri Rajnath Singh at ‘Shaurya Sandhya’ on 76th Army Day in Lucknow,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252393
252397,2024-01-15,Ministry of Science & Technology,IISF 2023 Presents the New Age Technology Show: A Glimpse into India's Technological Brilliance,robotics,1,1,robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252397
252409,2024-01-15,Ministry of Earth Science,India Meteorological Department celebrates 150th Year of its establishment and service to the nation,smart,0,3,smart | mausam seva | communication system,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252409
252424,2024-01-16,Ministry of Commerce & Industry,Startups are playing a pivotal role in India's journey towards becoming a developed nation by 2047: Sh. Goyal,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252424
252433,2024-01-16,Prime Minister's Office,"PM inaugurates new campus of National Academy of Customs, Indirect Taxes & Narcotics at Palasamudram, Sri Sathya Sai District, Andhra Pradesh",artificial intelligence,0,2,artificial intelligence | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252433
252440,2024-01-16,Ministry of Defence,"CDS Gen Anil Chauhan to inaugurate ninth chapter of CAPSTAR – 9 on the theme ‘Artificial Intelligence: Transforming Warfare’ in MILIT, Pune",AI,0,3,AI | artificial intelligence | diat,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252440
252443,2024-01-16,Ministry of Defence,"VICE ADMIRAL GURCHARAN SINGH, NM ASSUMES CHARGE AS CONTROLLER PERSONNEL SERVICES",amazon web,1,2,amazon web | amazon web services,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252443
252444,2024-01-16,Ministry of Commerce & Industry,India reinforces its status as a resilient global economy and a preferred investment destination at Davos,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252444
252447,2024-01-16,Ministry of Heavy Industries & Public Enterprises,"Soon India will be the 3rd largest economy in the world; With the highest contribution of 35% in GDP, MHI and the Automobile Industry are ready to play their role in this direction says Dr. Mahendra Nath Pandey",Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252447
252449,2024-01-16,Ministry of Finance,"PM inaugurates new campus of National Academy of Customs, Indirect Taxes & Narcotics at Palasamudram, Sri Sathya Sai District, Andhra Pradesh",artificial intelligence,0,2,artificial intelligence | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252449
252455,2024-01-17,Ministry of Communications,"Secretary, Department of Telecommunications Transformative visit to USA",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252455
252476,2024-01-17,Ministry of Defence,CHIEF OF THE NAVAL STAFF INAUGURATES REVOLUTIONARY CLEAN AND GREEN CO2-BASED AC PLANT AT INS SHIVAJI-LEAP TOWARDS GREEN TECHNOLOGY,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252476
252477,2024-01-17,Ministry of Human Resource Development,"YEAR END REVIEW 2023-International Cooperation Cell (ICC), Department of Higher Education",skills courses,1,1,skills courses,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252477
252478,2024-01-17,Ministry of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare is leveraging cutting-edge Artificial Intelligence (AI) technologies for the benefit of farmers and to increase overall productivity,AI,0,8,AI | ML | artificial intelligence | chatbot | machine learning | IndiaAI | pest surveillance | healthier crops,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252478
252483,2024-01-17,Ministry of Electronics & IT,"Secretary, MeitY launches “Centre of Excellence in Intelligent Internet of Things Sensors” and “India Innovation Centre for Graphene” in Kerala today",intelligent,0,1,intelligent,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252483
252509,2024-01-18,"Ministry of Personnel, Public Grievances & Pensions",With renewed focus on next generation administrative reforms the Government has approved an outlay of Rs. 235.10 crore for two years (2024-25 and 2025-26) for Scheme of Administrative Reforms of DARPG,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252509
252516,2024-01-18,Ministry of Housing and Urban Poverty Alleviation,3 Days Smart Cities India Expo being held in New Delhi,intelligent,0,6,intelligent | smart | Smart City | vehicle location | surveillance cameras | cities mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252516
252522,2024-01-18,Ministry of Defence,NCC is not just an organization but a movement which transforms young minds into responsible citizens & future heroes: Raksha Rajya Mantri Shri Ajay Bhatt at NCC Republic Day Camp,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252522
252525,2024-01-18,Vice President's Secretariat,"Public sector is the spine of the Indian economy, contributes to societal upliftment, says Vice-President",artificial intelligence,0,3,artificial intelligence | like artificial | technologies like artificial,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252525
252527,2024-01-18,Ministry of Science & Technology,CSIR-CSMCRI and KAMP: Nurturing the Minds of Tomorrow with their Scientific Excursion for Over 100 Students,Jigyasa,1,1,Jigyasa,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252527
252531,2024-01-18,Ministry of Power,"Two-day Review, Planning and Monitoring (RPM) Meeting of Power Sector being held in New Delhi",smart,0,2,smart | metering works,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252531
252534,2024-01-18,Ministry of Textiles,Ministry of Textiles approves 11 R&D projects valuing INR 103 Crores across different areas of Technical Textiles,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252534
252541,2024-01-18,Ministry of Science & Technology,"2nd Indo-French Joint Committee of Science and Technology (JCST), paves way for renewed scientific co-operation",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252541
252544,2024-01-19,Ministry of Women and Child Development,The President of India to confer Pradhan Mantri Rashtriya Bal Puraskar 2024 on 22ndJanuary to 19 children for their exceptional achievement in six categories,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252544
252545,2024-01-19,"Ministry of Personnel, Public Grievances & Pensions","NCGG’s 2nd Internship Programme in 2024 successfully completed, research papers of 8 interns accepted for publication following extensive research work",artificial intelligence,0,2,artificial intelligence | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252545
252557,2024-01-19,Vice President's Secretariat,Text of the Vice-President’s address at the 72nd convocation ceremony of Gujarat University. (Excerpts),artificial intelligence,0,2,artificial intelligence | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252557
252562,2024-01-19,Ministry of Human Resource Development,Shri Pradhan inaugurates second edition of IInvenTiv at IIT Hyderabad,robotics,1,1,robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252562
252570,2024-01-19,Ministry of Science & Technology,Union S&T Minister Dr Jitendra Singh calls upon the State Science Ministers to adopt the Centre’s technology practices in governance and infrastructure development and implementation of welfare schemes,technology innovation hubs,1,2,technology innovation hubs | autonomous navigation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252570
252575,2024-01-19,Ministry of Human Resource Development,Government of India directs all school and higher education institutions to provide study material for every course in Indian languages digitally within the next three years,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252575
252589,2024-01-19,Ministry of Science & Technology,India International Science Festival (IISF) Shines Bright on its 3rd Day,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252589
252590,2024-01-19,Ministry of Science & Technology,"Interactive Knowledge Workshops for budding entrepreneurs organised in Startup, Technology and Innovation B2B Meet at IISF 2023",AI,0,2,AI | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252590
252591,2024-01-19,Ministry of Power,"Union Power and New Renewable Energy Minister releases 3rd Edition of Consumer Service Ratings of DISCOMs; Uttar Pradesh’s NPCL and Delhi’s BRPL, BYPL and TPDDL get A+ Rating",smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252591
252592,2024-01-19,Ministry of Women and Child Development,Year End Review-2023: Ministry of Women and Child Development,smart,0,14,smart | analytics | mile tracking | last mile tracking | poshan helpline | emergency access | immediate emergency | beneficiaries registered | ration thr | home ration thr | poshan tracker application | tracker application | home ration | take home ration,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252592
252599,2024-01-23,Ministry of Science & Technology,"Indian diaspora playing a key role in global growth and adding value to their adopted countries and societies though at the same time they continue to be rooted with their motherland, says Union Minister Dr Jitendra Singh",artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252599
252602,2024-01-23,"Ministry of Consumer Affairs, Food & Public Distribution",Standards portfolio of Bureau of Indian Standards consists of over 22000 standards,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252602
252603,2024-01-23,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation Shri Amit Shah addresses the 5th International and 44th All India Criminology Conference of National Forensic Science University (NFSU) in Gandhinagar, Gujarat today",predictive,0,1,predictive,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252603
252607,2024-01-23,Ministry of Women and Child Development,Pradhan Mantri Rashtriya Bal Puraskar-2024 conferred upon 19 children by President of India,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=252607
