term,round,channel,primary_parent,all_parents,releases_matched,releases_added_when_introduced,example_context
Anna Roy,1,near-AI name,AI,AI(3),14,10,"p Platform (WEP) Shri S.C.L. Das, Secretary, , Ms. Anna Roy Senior Advisor Niti Aayog, Ms. Mercy Epao, JS – SME and Dr."
WAVES OTT,1,near-AI name,AI,AI(4),22,18,WAVES OTT to stream DFB-Pokal semi-finals & grand finale live in Indi
NeVA,1,near-AI name,Bhashini,Bhashini(7) | AI(5),36,29,ere laid in Rajya Sabha. NATIONAL E-VIDHAN APPLICATION (NeVA) The Ministry of Parliamentary Affairs is the ‘Nodal Mi
Samarth,1,near-AI name,Bhashini,AI(27) | smart(21) | automated(11) | analytics(11) | artificial intelligence(10) | Bhashini(7),212,156,"cheme, higher subsidy is provided for women owned MSMEs. “SAMARTH” initiative was launched to support women-owned MSMEs with"
Automobile,1,near-AI name,data science,AI(37) | smart(36) | artificial intelligence(19) | intelligent(7) | automated(5) | analytics(4) | machine learning(4) | data science(3),318,243,Tenure of Production Linked Incentive (PLI) Scheme for Automobile and Auto Components extended by One Year with partial amend
generative,1,1-gram,language model,AI(112) | artificial intelligence(78) | machine learning(37) | analytics(34) | IndiaAI(28) | ML(27) | smart(21) | intelligent(17) | language model(17) | compute(17) | big data(16) | automated(15) | large language model(15) | data science(14) | chatbot(12) | Bhashini(11) | FutureSkills(11) | predictive(10) | deep learning(9) | algorithm(6),116,1,"gram includes one-to-one mentoring of faculty and promoting generative dialogue among faculty, student teams and HEI partners by a"
kumar pawan,1,2-gram,compute,AI(50) | artificial intelligence(42) | compute(17) | IndiaAI(9) | intelligent(6),51,1,
position as global,1,3-gram,intelligent,AI(46) | artificial intelligence(29) | smart(26) | automated(9) | intelligent(7),2,1,
like artificial,1,2-gram,machine learning,artificial intelligence(85) | AI(42) | machine learning(34) | smart(13) | automated(7) | intelligent(5),88,1,ds 2025 and applauded the adoption of advanced technologies like artificial insemination and embryo transfer to improve dairy productiv
gpu,1,1-gram,compute,AI(39) | artificial intelligence(33) | compute(29) | IndiaAI(23) | machine learning(13) | Bhashini(8) | intelligent(6) | data science(6) | FutureSkills(6) | chatbot(5) | big data(4) | large language model(4) | language model(4) | ChatGPT(4) | deep learning(3) | language translation(3),40,1,"sustain their own water supply systems. In Rumbuk GPU under Daramdin Block , Sarpanch Shela Subba has encouraged"
played pivotal role,1,3-gram,machine learning,AI(37) | artificial intelligence(24) | smart(18) | analytics(11) | machine learning(9) | automated(8),1,1,"tion of operations, including the introduction of ERP, have played pivotal role in enhancing mine efficiency and productivity. Furtherm"
multilingual access,1,2-gram,language translation,AI(37) | Bhashini(33) | language translation(13) | chatbot(9) | language model(6) | large language model(3),47,5,ent Management System (CMS) of the application and enabling multilingual access. PIB has approved the NeVA project with a total cos
becoming developed nation,1,3-gram,AI,AI(36) | artificial intelligence(22) | smart(11),1,1,make a bold resolution to bring India closer to its goal of becoming developed nation by 2047. It emphasizes that the journey towards a developed
marks significant milestone,1,3-gram,robot,AI(36) | artificial intelligence(27) | smart(18) | automated(9) | machine learning(9) | robot(4),3,1,MDNIY marks significant milestone by signing three MoUs The Morarji Desai National Institut
companies like ibm,1,3-gram,big data,AI(36) | artificial intelligence(33) | ML(26) | machine learning(11) | big data(10),38,1,"er, DGT under the aegis of MSDE has signed MoU with various companies like IBM, CISCO, Microsoft, AWS etc. to ensure industry linkages for"
partnerships facilitate,1,2-gram,big data,AI(35) | artificial intelligence(33) | ML(28) | analytics(11) | machine learning(10) | big data(8) | data science(6),37,1,s in industrial environment as per their requirements.These partnerships facilitate the provision of technical and professional skills training
amazon web,1,2-gram,big data,AI(35) | artificial intelligence(31) | ML(19) | analytics(12) | machine learning(9) | big data(8) | data science(5),37,1,"Tammanna. Anushka, an Electronics Engineer is working with Amazon Web Services, and Tammanna is pursuing graduation in Humanities"
amazon web services,1,3-gram,big data,AI(35) | artificial intelligence(31) | ML(19) | analytics(12) | machine learning(9) | big data(8) | data science(5),37,1,"Tammanna. Anushka, an Electronics Engineer is working with Amazon Web Services, and Tammanna is pursuing graduation in Humanities at Jaihi"
planet and progress,1,3-gram,GPT,AI(34) | artificial intelligence(22) | IndiaAI(21) | compute(13) | Bhashini(8) | predictive(5) | FutureSkills(5) | GPT(3) | language translation(3),35,1,
marks significant,1,2-gram,robot,AI(100) | artificial intelligence(67) | smart(50) | automated(22) | robot(5) | face recognition(3),7,3,MDNIY marks significant milestone by signing three MoUs The Morarji Desai Nationa
like ibm cisco,1,3-gram,big data,AI(33) | artificial intelligence(31) | ML(23) | machine learning(10) | big data(10),34,1,
ibm cisco,1,2-gram,big data,AI(33) | artificial intelligence(31) | ML(23) | machine learning(10) | big data(10),34,1,
future skills courses,1,3-gram,ML,AI(31) | artificial intelligence(27) | ML(26) | machine learning(9) | big data(6),32,1,General of Training (DGT): DGT has introduced new age /future skills courses under Craftsmen Training Scheme (CTS) to provide training i
plays crucial,1,2-gram,data science,AI(30) | smart(17) | intelligent(9) | data science(4),1,1,Indian Institute of Astrophysics plays crucial role in bringing sunlight on forehead of Sri Ram Lalla In
age future,1,2-gram,ML,AI(30) | artificial intelligence(27) | ML(26) | machine learning(9) | big data(6),31,1,
age future skills,1,3-gram,ML,AI(30) | artificial intelligence(27) | ML(26) | machine learning(9) | big data(6),31,1,
introduced new age,1,3-gram,ML,artificial intelligence(34) | AI(30) | ML(27) | machine learning(10) | Smart City(7) | big data(6),18,1,tem. Directorate General of Training (DGT): DGT has introduced new age /future skills courses under Craftsmen Training Scheme (CTS
professional skills training,1,3-gram,big data,AI(30) | artificial intelligence(27) | ML(26) | machine learning(9) | big data(8),32,1,hese partnerships facilitate the provision of technical and professional skills training in modern technologies. This information was given by t
plays crucial role,1,3-gram,data science,AI(29) | smart(17) | intelligent(9) | data science(4),1,1,Indian Institute of Astrophysics plays crucial role in bringing sunlight on forehead of Sri Ram Lalla Indian
ethical use,1,2-gram,IndiaAI,AI(28) | artificial intelligence(22) | IndiaAI(8),33,1,"ments, while underscoring the importance of responsible and ethical use of data to drive inclusion and efficiency in governance."
provided platform,1,2-gram,smart,AI(28) | smart(15),1,1,"ntries, and around 30,000 business visitors. The exhibition provided platform for connecting manufacturers with wholesalers, retailers, d"
optical character recognition,1,3-gram,large language model,artificial intelligence(32) | AI(28) | intelligent(11) | automated(9) | Bhashini(8) | chatbot(6) | large language model(3) | language model(3),35,1,"xt-to-Speech, Speech-to-Text, Speech-to-Speech translation, Optical Character Recognition for digitizing and translating tribal manuscripts, and a co"
character recognition,1,2-gram,large language model,artificial intelligence(32) | AI(28) | intelligent(11) | automated(9) | Bhashini(8) | chatbot(6) | large language model(3) | language model(3),35,1,"eech, Speech-to-Text, Speech-to-Speech translation, Optical Character Recognition for digitizing and translating tribal manuscripts, and a co"
optical character,1,2-gram,large language model,artificial intelligence(32) | AI(28) | intelligent(11) | automated(9) | Bhashini(8) | chatbot(6) | large language model(3) | language model(3),35,1,"xt-to-Speech, Speech-to-Text, Speech-to-Speech translation, Optical Character Recognition for digitizing and translating tribal manuscrip"
deepfake,1,1-gram,deep learning,AI(28) | IndiaAI(13) | automated(10) | intelligent(8) | compute(7) | deep learning(4) | algorithm(3),31,1,"analyzed emerging cyber fraud patterns including UPI scams, deepfake threats, social engineering attacks, and digital payment vu"
robotics mechatronics,1,2-gram,ML,AI(28) | artificial intelligence(27) | ML(19),29,1,
scheme and dual,1,3-gram,ML,AI(28) | artificial intelligence(26) | ML(20),30,1,ate and regional levels. DGT is also implementing Flexi MoU Scheme and Dual System of Training (DST) which are meant to provide trainin
independent business,1,2-gram,IndiaAI,AI(27) | IndiaAI(24) | compute(8) | FutureSkills(5) | algorithm(3),29,1,"About NeGD : The National e-Governance Division, an independent business division under Digital India Corporation and MeitY, is resp"
tihs,1,1-gram,large language model,AI(27) | ML(19) | machine learning(16) | large language model(7) | language model(7) | predictive(5) | Drishti(4),33,2,Tirupati described the role of Technology Innovation Hubs (TIHs) in accelerating geospatial innovation. A Gra
hubs tihs,1,2-gram,large language model,AI(27) | ML(19) | machine learning(16) | large language model(7) | language model(7) | predictive(5) | Drishti(3),31,2,
innovation hubs tihs,1,3-gram,large language model,AI(27) | ML(19) | machine learning(16) | large language model(7) | language model(7) | predictive(5) | Drishti(3),31,2,
training to iti,1,3-gram,ML,AI(27) | artificial intelligence(25) | ML(20),29,1,nd Dual System of Training (DST) which are meant to provide training to ITI students in industrial environment as per their requirement
technologies like artificial,1,3-gram,machine learning,artificial intelligence(56) | AI(26) | machine learning(25) | intelligent(5),58,1,al Ratna Awards 2025 and applauded the adoption of advanced technologies like artificial insemination and embryo transfer to improve dairy productiv
ceo digital,1,2-gram,language translation,AI(26) | Bhashini(24) | language translation(8),28,2,", President & CEO, Nation E-Governance Mission (NeGD); MD & CEO Digital India Corporation, and CEO, MyGov. Participants include"
ensure industry linkages,1,3-gram,ML,AI(26) | artificial intelligence(24) | ML(20),28,1,"h various companies like IBM, CISCO, Microsoft, AWS etc. to ensure industry linkages for the institutes at the state and regional levels. DGT is"
cts to provide,1,3-gram,ML,ML(21),23,1,
needs of respective,1,3-gram,ML,artificial intelligence(22) | ML(19),26,1,"NSDC, which are mandated to identify the skill development needs of respective sectors as well as to determine skill competency standards."
implementing flexi mou,1,3-gram,ML,artificial intelligence(23) | ML(19),27,1,he institutes at the state and regional levels. DGT is also implementing Flexi MoU Scheme and Dual System of Training (DST) which are meant to
councils sscs led,1,3-gram,ML,artificial intelligence(24) | ML(19),28,1,
implementing flexi,1,2-gram,ML,artificial intelligence(23) | ML(19),27,1,he institutes at the state and regional levels. DGT is also implementing Flexi MoU Scheme and Dual System of Training (DST) which are mean
sscs led,1,2-gram,ML,artificial intelligence(24) | ML(19),28,1,
ahmedabad and mumbai,1,3-gram,ML,ML(19),24,1,doubled. Work on the High-Speed Rail Ecosystem between Ahmedabad and Mumbai is also progressing at a rapid pace. My Government has
overarching regulator,1,2-gram,ML,artificial intelligence(22) | ML(18),26,1,tional Education and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in
regulator establishing regulations,1,3-gram,ML,artificial intelligence(22) | ML(18),26,1,tion and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in the Technical and Vocati
regulator establishing,1,2-gram,ML,ML(18),26,1,tion and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in the Technica
overarching regulator establishing,1,3-gram,ML,ML(18),26,1,tional Education and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in the Technica
industry validations,1,2-gram,ML,ML(18),26,1,"nal Standards (NOS) / Micro-credentials after the mandatory industry validations. Also, appropriate provisions under National Credit Fra"
tvet space,1,2-gram,ML,ML(18),25,1,
training tvet space,1,3-gram,ML,ML(18),25,1,
dgt has introduced,1,3-gram,Smart City,artificial intelligence(24) | ML(18) | Smart City(7),26,1,eco-system. Directorate General of Training (DGT): DGT has introduced new age /future skills courses under Craftsmen Training Sch
map them,1,2-gram,ML,ML(17),24,1,or the community to bring their title documents forward and map them accurately into the digital age. You don't need any technic
integrate voluminous data,1,3-gram,ML,ML(14),19,1,"puting facilities have also been substantially increased to integrate voluminous data and to run meso-scale, regional, and global models at highe"
voluminous data,1,2-gram,ML,ML(14),19,1,"ilities have also been substantially increased to integrate voluminous data and to run meso-scale, regional, and global models at highe"
integrate voluminous,1,2-gram,ML,ML(14),19,1,"puting facilities have also been substantially increased to integrate voluminous data and to run meso-scale, regional, and global models at"
training dst which,1,3-gram,ML,ML(14),17,1,
skills courses,1,2-gram,ML,ML(27),34,2,until mid-2024 to deliver a project on Developing Critical Skills Courses in India. 11 institutional MoUs were signed at the event
potential of artificial,1,3-gram,artificial intelligence,artificial intelligence(27),28,1,lectron flow regulation are crucial for harnessing the full potential of artificial enzymes in bio-inspired applications. With these advancemen
intelligence data,1,2-gram,analytics,artificial intelligence(24) | analytics(15),26,1,
secure connectivity,1,2-gram,intelligent,intelligent(10),15,1,holders. The DIP is accessible to the stakeholders over secure connectivity and the relevant information is shared based on their respe
digital twins,1,2-gram,intelligent,intelligent(16) | predictive(10),43,2,"aphic Surveys, Next Generation navigation for waterways and Digital Twins. NTCPWC has been set up at a cost of Rs. 77 Cr. with fi"
standardisation activities,1,2-gram,intelligent,intelligent(8) | predictive(4),11,1,ons for Telecom/ICT sector. TEC is actively involved in the standardisation activities on Quantum Technology at domestic as well as international
privacy preserving,1,2-gram,algorithm,IndiaAI(9) | machine learning(8) | compute(8) | intelligent(7) | algorithm(5) | data science(5) | FutureSkills(5),23,1,
vehicle location,1,2-gram,intelligent,intelligent(7),11,1,"s with depots, as well as allocation of stack space in FCI, Vehicle Location Tracking System (VLTS) innovative with integration with Rai"
computer vision,1,2-gram,large language model,analytics(13) | machine learning(8) | intelligent(7) | predictive(5) | data science(4) | large language model(3) | language model(3),25,1,e free copra using solar dryers and validate the same using computer vision based auxiliary system. 1) Coconut oil product develo
courts project phase,1,3-gram,intelligent,intelligent(7),12,1,"ICT hardware for the computerisation of courts under the e-Courts Project Phase III. As on 30.06.2026, a total of 42.96 lakh legacy case re"
enhancing technologies,1,2-gram,intelligent,intelligent(7),11,1,rity and Privacy: Adopt an approach that embeds key privacy enhancing technologies and security features within the core design to ensure indi
learning based,1,2-gram,deep learning,machine learning(19) | intelligent(6) | deep learning(6) | predictive(5),22,1,
studies and technical,1,3-gram,predictive,intelligent(6) | predictive(4),10,1,"cially the benefit of maize farmers. Through the scientific studies and technical reports available on Ethanol, the negative narrative will b"
test frameworks,1,2-gram,predictive,intelligent(6) | predictive(4),9,1,Groups and TEC’s National Working Groups. India-Specific Test Frameworks: Development of standards and interoperability solutions ta
global standardization activities,1,3-gram,predictive,intelligent(6) | predictive(4),11,1,"TU-T and ITU-R, and coordinates National Working Groups for global standardization activities. Follow DoT's social media handles for more: -"
itu itu,1,2-gram,predictive,intelligent(6) | predictive(4),1,1,
joint studies,1,2-gram,intelligent,intelligent(6),10,1,Roorkee’s online courses. Collaborative Research: Promote joint studies and projects on critical issues related to India’s electric
privacy enhancing,1,2-gram,algorithm,IndiaAI(9) | compute(7) | intelligent(6) | algorithm(6) | FutureSkills(3),18,1,v. Security and Privacy: Adopt an approach that embeds key privacy enhancing technologies and security features within the core design t
optical communication,1,2-gram,intelligent,intelligent(6),11,1,"like Financial Fraud Prevention, Quantum Communication, 6G, Optical Communication, Semiconductors, and more, gives me the confidence that Ind"
surveillance cameras,1,2-gram,intelligent,intelligent(6),15,1,"such as Air conditioning, Saloon Lighting etc. CCTV surveillance cameras in all coaches. Talking about medium distance Vand"
innovation network,1,2-gram,intelligent,intelligent(6),18,1,"hermo Fisher’s global expertise with Startup India’s strong innovation network, we aim to create new opportunities for early-stage biotech"
privacy enhancing technologies,1,3-gram,intelligent,intelligent(6),9,1,v. Security and Privacy: Adopt an approach that embeds key privacy enhancing technologies and security features within the core design to ensure indi
ocr,1,1-gram,intelligent,intelligent(10),35,2,an narrated recording 3. Large Print/Audio Books 4. OCR- Structure E-Pub without proofreading 5. Tactile Diagra
incident detection,1,2-gram,ANPR,ANPR(6) | intelligent(5),9,1,"e that components such as Traffic Monitoring Cameras, Video Incident Detection Systems, Variable Speed Detection Systems, Variable Message"
telecom centre,1,2-gram,intelligent,intelligent(5),2,1,a Memorandum of Understanding (MoU) was signed between the Telecom Centre of Excellence (TCOE) India and Visvesvaraya Technological U
groups for global,1,3-gram,predictive,intelligent(5) | predictive(4),9,1,"ch as the ITU-T and ITU-R, and coordinates National Working Groups for global standardization activities. Follow DoT's social"
practices tec represents,1,3-gram,predictive,intelligent(5) | predictive(4),9,1,
contributions in telecom,1,3-gram,predictive,intelligent(5) | predictive(4),9,1,nce Awards- 2025 to two organizations for their outstanding contributions in Telecom Technology . The awardees are as follows: Amantya Tec
best practices tec,1,3-gram,predictive,intelligent(5) | predictive(4),9,1,
strengthening indigenous research,1,3-gram,predictive,intelligent(5) | predictive(4),9,1,"above. This partnership aligns with the national vision of strengthening indigenous research and innovation under the ""Atmanirbhar Bharat"" initiative an"
global standardisation processes,1,3-gram,predictive,intelligent(5) | predictive(4),8,1,"mportance of India’s active and meaningful participation in global standardisation processes and the need to ensure that Indian innovations, technologie"
IOT Hardware,1,near-AI name,analytics,smart(3) | analytics(3),4,1,s (IoT) Developer Electronics and Hardware IoT Hardware Analyst Electronics and Hardware IT Coordi
cities mission,1,2-gram,Smart City,smart(65) | Smart City(14),67,1,
greenfield industrial,1,2-gram,Smart City,smart(25) | Smart City(10),30,2,ed Russian businesses to set up manufacturing facilities in greenfield industrial cities under Industrial Corridor program of Government of I
labs digital,1,2-gram,Smart City,smart(20) | Smart City(6),22,1,
bio based chemicals,1,3-gram,smart,smart(19),22,1,
based chemicals,1,2-gram,smart,smart(19),22,1,"renewable feedstocks, development of biodegradable and bio-based chemicals for various applications, etc. Government of India has"
metering works,1,2-gram,smart,smart(32),34,2,He also suggested for prioritizing implementation of System metering works for effective monitoring and accurate accounting of electri
change and extreme,1,3-gram,smart,smart(16),20,1,ion. The programmes and studies related to climate change and extreme weather have been conducted by IMD and other institutions u
skilling with focus,1,3-gram,smart,smart(16),16,1,
ludhiana including setting,1,3-gram,smart,smart(16),17,1,
located in bhubaneswar,1,3-gram,smart,smart(16),17,1,"entation of five National Skill Training Institute(s) NSTIs located in Bhubaneswar, Chennai, Hyderabad, Kanpur and Ludhiana, including setting"
setting up sector,1,3-gram,smart,smart(15),16,1,
trainers with global,1,3-gram,smart,smart(15),16,1,"Excellence for skilling, with focus on advanced training of trainers with global partnership. As per the Cabinet approval the scheme has"
industrial robotics,1,2-gram,Smart City,smart(13) | Smart City(11) | data science(4),22,1,"dvanced/Special Purpose Machines, Testing & Metrology; (ii) Industrial Robotics & Automation; and (iii) Advanced Additive Manufacturing (3D"
choudhary in written,1,3-gram,smart,smart(13),1,1,
emerging skill needs,1,3-gram,Smart City,smart(13) | Smart City(8),14,1,"ents in consultation with industry, ensuring alignment with emerging skill needs and local industrial potential. The Hub-and-Spoke ITI clust"
into single,1,2-gram,automated,smart(25) | automated(19),5,2,"DoT’s NTIPRIT, NICF and WMTDC merged into single entity named ‘National Communications Academy’; will be hea"
there was time,1,3-gram,machine learning,smart(24) | machine learning(24),4,2,"fails, it is not failure. It is a step toward success. There was time in ancient India when a village was self-sufficient. वहां ख"
programmer,1,1-gram,Smart City,smart(12) | Smart City(11),15,1,"hnav, Mission Director, AIM-NITI Aayog, Sh. Surender Mehra, Programmer Director (S&T), NITI Aayog and other distinguished members"
semiconductor technician,1,2-gram,Smart City,smart(12) | Smart City(11),15,1,10th Two Years 4 2023 3 Semiconductor Technician 12th One Year 4.5 2024
solar technician,1,2-gram,Smart City,smart(12) | Smart City(11),15,1,th Solar PV technician course. She has now become a skilled solar technician. Payal is making a name for herself as a solar entrepreneur
mausam seva,1,2-gram,smart,smart(12),14,1,"e enhancement of farming community, under the Gramin Krishi Mausam Seva (GKMS). Mapping of Kharif rice fallows helped crop intensif"
weather surveillance,1,2-gram,smart,smart(12),16,1,"d monitoring of helipad operations, helicopter tracking and weather surveillance. Weather monitoring capabilities have also been signifi"
component ii capacity,1,3-gram,smart,smart(12),13,1,
inr crores,1,2-gram,smart,smart(11),1,1,ated No of Startups Funded Funds Disbursed In INR Crores 1 Andhra Pradesh 7 1 5
served as platform,1,3-gram,analytics,analytics(14) | smart(11),1,1,rable improvements in animal production. The event served as platform to honour the achievements of famers involved in livestock
futuristic marine,1,2-gram,smart,smart(11),12,1,INE AND SPACE BIOTECHNOLOGY The Government has identified futuristic marine and space biotechnology as priority sectors under the BioE3
industrial corridor dmic,1,3-gram,Smart City,smart(11) | Smart City(6),12,1,
corridor dmic,1,2-gram,Smart City,smart(11) | Smart City(6),12,1,
provides platform,1,2-gram,pest surveillance,smart(11) | big data(4) | pest surveillance(3),2,1,
technician cum app,1,3-gram,Smart City,smart(11) | Smart City(11),12,1,24-25 Developed in year 1 Smartphone Technician Cum App Tester 10th Six Months 3 2018
loan appraisal,1,2-gram,automated,automated(11),12,1,"rmance and growth. Digital tools support business planning, loan appraisal, and enterprise tracking. This integrated mechanism ensures"
msme borrowers,1,2-gram,automated,automated(10),11,1,"or such additional credit facility extended to the eligible MSME borrowers. For the scheduled passenger airlines, the guarantee covera"
adaptive learning,1,2-gram,GPT,automated(8) | IndiaAI(8) | compute(8) | GPT(3) | deep learning(3) | language translation(3),16,1,"cate skills such as design mindset, computational thinking, adaptive learning, physical computing etc. ***** DK/DK/SMP"
persons in addition,1,3-gram,automated,automated(8),10,1,
bihar chhattisgarh goa,1,3-gram,automated,automated(8),4,1,
car assessment,1,2-gram,automated,automated(8),9,1,ring the event included: Adoption of Bharat NCAP (New Car Assessment Program) for enhanced vehicle safety. Enforcement of the
least four wheels,1,3-gram,automated,automated(8),9,1,"cific Requirements for M Category, (a motor vehicle with at least four wheels used for carrying passenger) N Category (a motor vehicl"
institutes of driving,1,3-gram,automated,automated(8),9,1,"ghways implements a central sector scheme for setting up of Institutes of Driving Training and Research (IDTR), Regional Driving Training Cen"
wheels used,1,2-gram,automated,automated(8),9,1,"rements for M Category, (a motor vehicle with at least four wheels used for carrying passenger) N Category (a motor vehicle wit"
improved visibility,1,2-gram,automated,automated(8),10,1,"rs and stakeholders across the edible oil value chain. With improved visibility on domestic production, imports, and stock levels, the Gove"
carrying goods,1,2-gram,automated,automated(8),10,1,ategory (a motor vehicle with at least four wheels used for carrying goods) Electric Power Train Vehicles] to prescribe Technical Requ
car assessment program,1,3-gram,automated,automated(8),9,1,ring the event included: Adoption of Bharat NCAP (New Car Assessment Program) for enhanced vehicle safety. Enforcement of the Bus Body
detect malicious,1,2-gram,automated,automated(8),10,1,"and Malware Analysis Centre, provided by CERT-In, helps to detect malicious programs and provides free tools to remove them. ○ It a"
