relid,release_date,ministry,title,matched_term,term_round,term_channel,term_primary_parent
253882,2024-02-19,Ministry of Defence,LIEUTENANT GENERAL UPENDRA DWIVEDI TAKES OVER AS VICE CHIEF OF THE ARMY STAFF FROM LIEUTENANT GENERAL MV SUCHINDRA KUMAR,AI,0,seed,
253892,2024-02-19,Ministry of Petroleum & Natural Gas,ONGC Mumbai High a national treasure: Petroleum Minister Hardeep Puri,AI,0,seed,
253917,2024-02-20,Ministry of Electronics & IT,"“Our approach to creating a framework of regulation has been open, transparent, and consultative, whereas previous Govts were involved in some of the biggest scams.”: MoS Rajeev Chandrasekhar",AI,0,seed,
253944,2024-02-20,Ministry of Electronics & IT,Inauguration of NIELIT Extension Centre in Bikaner by Union Minister of State(I/C) for Law & Justice and MoS Parliamentary Affairs & Culture Arjun Ram Meghwal tomorrow,AI,0,seed,
253970,2024-02-21,"Ministry of Personnel, Public Grievances & Pensions","CPGRAMS Reforms to be further strengthened by (i) Full rollout of the CPGRAMS Mobile Application by March, 2024, (ii) adoption of CPGRAMS ver 7.0 in Gujarat State (iii) CSC-CPGRAMS collaboration to be strengthened and (iv) Use of Anuvadini AI Tool to be used for translation of CPGRAMS Reports in regional languages",AI,0,seed,
253971,2024-02-21,Ministry of Science & Technology,"A High-level Canadian Delegation led by Mr. Scott Moe, Premier of Saskatchewan province, Canada calls on Union Minister Dr. Jitendra Singh",AI,0,seed,
253986,2024-02-21,Ministry of Electronics & IT,"iCreate, Microsoft and MeitY Join Hands to Transform & Boost Indian Startups in AI",AI,0,seed,
254017,2024-02-22,Ministry of Information & Broadcasting,Transformative Portals for a Modernized Media Landscape unveiled by Union Minister Shri Anurag Thakur,AI,0,seed,
254048,2024-02-23,Ministry of Textiles,BHARAT TEX 2024 to be India’s Largest Global Textiles Mega Event: Textile Secretary,AI,0,seed,
254052,2024-02-23,Prime Minister's Office,"English rendering of PM’s address at the prize distribution ceremony of Sansad Sanskrit Pratiyogita at BHU, Varanasi",AI,0,seed,
254063,2024-02-23,Ministry of Science & Technology,"Artificial Intelligence revolutionising clinical medicine, need for optimum integration between the existing and the newer tools of patient care, says Union Minister Dr Jitendra Singh",AI,0,seed,
254095,2024-02-24,Ministry of Communications,Vimarsh 2023: 5G Hackathon for Law Enforcement Agencies,AI,0,seed,
254117,2024-02-25,Prime Minister's Office,English rendering of PM’s address in the 110th Episode of ‘Mann Ki Baat’ on 25.02.2024,AI,0,seed,
254142,2024-02-26,Ministry of Science & Technology,India-specific model developed to determine the age of a foetus in a pregnant woman in the second and third trimesters precisely,AI,0,seed,
254152,2024-02-26,Ministry of Science & Technology,India's 1st septic tank cleaning robot strengthening Swatch Bharat campaign,AI,0,seed,
254161,2024-02-26,Ministry of Science & Technology,Union Minister Dr. Jitendra Singh - Chief Guest for 35th Convocation ceremony of Indian College of Physicians and 79th annual conference of the Association of Physicians in India (APICON 2024) - conferred Honorary Fellowship,AI,0,seed,
254172,2024-02-26,Ministry of Electronics & IT,Union Minister Rajeev Chandrasekhar Launches ‘Investor Information and Analytics Platform’ Developed by IIT Madras,AI,0,seed,
254173,2024-02-26,Ministry of Communications,C-DOT bags 3 awards for its indigenously designed & developed innovative Telecom solutions at 14th Annual Aegis Graham Bell Awards,AI,0,seed,
254177,2024-02-26,Prime Minister's Office,PM addresses News 9 Global Summit,AI,0,seed,
254180,2024-02-26,Prime Minister's Office,English rendering of PM’s address at the TV9 Conclave,AI,0,seed,
254201,2024-02-27,Ministry of Shipping,"Prime Minister Narendra Modi to Unveil Game-Changing Projects worth more than Rs.17,000 Crore tomorrow from Tuticorin",AI,0,seed,
254203,2024-02-27,Ministry of Commerce & Industry,"Indian Startup Ecosystem aims for global dominance, gears up for the first ever Startup Mahakumbh",AI,0,seed,
254237,2024-02-27,Ministry of Human Resource Development,Shri Dharmendra Pradhan launches SWAYAM Plus platform,AI,0,seed,
254261,2024-02-28,Ministry of Science & Technology,"India has conducted the first human clinical trial of gene therapy for haemophilia A (FVIII deficiency) at Christian Medical College (CMC) Vellore, says Dr. Jitendra Singh",AI,0,seed,
254265,2024-02-28,Ministry of Power,Union Power and New & Renewable Energy Minister R K Singh commends IEEMA on launch of ELECRAMA 2025,AI,0,seed,
254315,2024-02-29,Ministry of Agriculture & Farmers Welfare,Benefits transferred to farmers under PM KISAN crosses Rs 3 lakh crores,AI,0,seed,
254344,2024-02-29,Ministry of Communications,"Dr. Neeraj Mittal presents India's Telecom Advancements and Global Collaborations at Mobile World Congress 2024 (MWC24), Barcelona, Spain",AI,0,seed,
254358,2024-03-01,Ministry of Communications,C-DOT and Qualcomm sign MoU towards Atmanirbhar Bharat and driving Design and Make in India vision,AI,0,seed,
254434,2024-03-02,Ministry of Health and Family Welfare,Dr Mansukh Mandaviya addresses Governing Council Meeting of the Indian Council of Medical Research,AI,0,seed,
254439,2024-02-29,Prime Minister's Office,Prime Minister meets with Mr. Bill Gates,AI,0,seed,
254451,2024-03-03,AYUSH,Union Ayush and Health Ministers to Announce setting up of Ayush - ICMR Advanced Centre for Integrative Health Research (AI-ACIHR) at select AIIMS across the nation,AI,0,seed,
254457,2024-03-04,Ministry of Health and Family Welfare,Dr Mansukh Mandaviya launches AYUSH-ICMR Advanced Centre for Integrated Health Research in AIIMS,AI,0,seed,
254465,2024-03-04,AYUSH,Union Health Minister Launches Indian Public Health Standards for AYUSH healthcare facilities,AI,0,seed,
254494,2024-03-04,Ministry of Social Justice & Empowerment,Empowering Persons with Disabilities: DEPwD Signs Three Groundbreaking MoUs,AI,0,seed,
254522,2024-03-05,Ministry of Electronics & IT,“No Young Malayali in Thiruvananthapuram will be left out without Skills in next 5 years”: MoS Rajeev Chandrasekhar,AI,0,seed,
254536,2024-03-05,Ministry of Communications,"Department of Telecommunications, TCOE, kick starts its first outreach program, for the Transformative ‘Sangam: Digital Twin’ initiative at IIT, Delhi",AI,0,seed,
254546,2024-03-06,NITI Aayog,"Minister of Communications, Railways, and Electronics & Information Technology Shri Ashwini Vaishnaw to launch NITI Aayog’s ‘NITI For States’ Platform",AI,0,seed,
254557,2024-03-06,NITI Aayog,"Atal Innovation Mission, NITI Aayog and Meta join hands to establish Frontier Technology Labs in schools to democratize access to future technologies and innovation",AI,0,seed,
254573,2024-03-06,Ministry of Housing and Urban Poverty Alleviation,Young people will be the drivers of Amrit Kaal: Housing Minister Hardeep S Puri,AI,0,seed,
254583,2024-03-07,Ministry of Science & Technology,CSIR-NIScPR Organized Workshops on how to communicate Science by using right S&T Terminology through Electronic and social media,AI,0,seed,
254623,2024-03-07,NITI Aayog,Union Minister Ashwini Vaishnaw launches NITI Aayog’s – ‘NITI for States’ Platform,AI,0,seed,
254635,2024-03-07,Cabinet,Cabinet Approves Ambitious IndiaAI Mission to Strengthen the AI Innovation Ecosystem,AI,0,seed,
254636,2024-03-07,Ministry of Electronics & IT,Cabinet Approves Ambitious IndiaAI Mission to Strengthen the AI Innovation Ecosystem,AI,0,seed,
254645,2024-03-07,Ministry of Electronics & IT,"Cabinet Approves Over Rs 10,300 Crore for IndiaAI Mission, will Empower AI Startups and Expand Compute Infrastructure Access",AI,0,seed,
254655,2024-03-07,Ministry of Tribal Affairs,"Union Tribal Affairs Minister Sh. Arjun Munda announces ground-breaking partnerships for Tribal Development with ISRO, AIIMS Delhi, IIT Delhi, IIM Calcutta and IISc Bengaluru",AI,0,seed,
254658,2024-03-07,Prime Minister's Office,English rendering of PM’s address at Republic Summit 2024 in New Delhi,AI,0,seed,
254674,2024-03-08,Prime Minister's Office,PM presents first-ever National Creators Award,AI,0,seed,
254675,2024-03-08,Prime Minister's Office,PM’s interaction with the winners of first-ever National Creators Awards,AI,0,seed,
254706,2024-03-08,Prime Minister's Office,English rendering of PM’s address at the 1st ever 'National Creators Awards' at Bharat Mandapam in New Delhi,AI,0,seed,
254745,2024-03-09,Ministry of Communications,Second outreach programme for the Sangam: Digital Twin initiative of DoT hosted at IIIT Bangalore,AI,0,seed,
254806,2024-03-11,Ministry of Science & Technology,Breaking barriers: CSIR-NIScPR conducts a workshop to promote Science Communication in Assamese,AI,0,seed,
254807,2024-03-11,Ministry of Home Affairs,"Union Home Minister and Minister of Cooperation, Shri Amit Shah, inaugurates commencement of PNG facilities in 41 villages and various development projects in 178 villages under the ‘Dilli Gramodaya Abhiyan’",AI,0,seed,
254810,2024-03-11,Ministry of Communications,Minister Ashwini Vaishnaw announces telecom reforms including Spectrum Regulatory Sandbox and abolishing the requirement for a Wireless Operating License,AI,0,seed,
254856,2024-03-12,Ministry of Electronics & IT,Union Minister Rajeev Chandrasekhar Inaugurates India’s 1st FutureLABS center at C-DAC Thiruvananthapuram,AI,0,seed,
254860,2024-03-12,Ministry of Communications,Third outreach program for the Sangam: Digital Twin initiative of DoT hosted in Hyderabad Following Success in Delhi and Bangalore,AI,0,seed,
254873,2024-03-13,Prime Minister's Office,PM participates in ‘India’s Techade: Chips for Viksit Bharat’ program,AI,0,seed,
254876,2024-03-13,Prime Minister's Office,English rendering of PM’s address at ‘India’s Techade: Chips for Viksit Bharat' via video conferencing,AI,0,seed,
255018,2024-03-15,"Ministry of Fisheries, Animal Husbandry & Dairying",Livestock Sector to have Digital Footprints,AI,0,seed,
255020,2024-03-15,Ministry of Communications,Secretary (Telecom) inaugurates Centre for Broadband Proliferation in Rural Area,AI,0,seed,
255044,2024-03-17,Ministry of Communications,"TEC, DoT & ICAR to host ITU/FAO Workshop on “Cultivating tomorrow: Advancing digital agriculture through IoT and AI“",AI,0,seed,
255049,2024-03-18,President's Secretariat,STATE CIVIL SERVICES OFFICERS ATTENDING THE 125TH INDUCTION TRAINING PROGRAMME AT LBSNAA CALL ON THE PRESIDENT,AI,0,seed,
255058,2024-03-19,Ministry of Commerce & Industry,Startup Mahakumbh witnesses record-breaking participation and enthusiasm,AI,0,seed,
255069,2024-03-20,Prime Minister's Office,"PM inaugurates Start-up Mahakumbh at Bharat Mandapam, New Delhi",AI,0,seed,
255071,2024-03-20,Ministry of Culture,47th Meeting of National Committee of Archivists held in Srinagar,AI,0,seed,
255077,2024-03-20,Ministry of Communications,ITU/FAO Workshop hosted by TEC & ICAR successfully concludes,AI,0,seed,
255080,2024-03-20,Prime Minister's Office,"English rendering of PM’s address at the Start-up Mahakumbh in Bharat Mandapam, New Delhi",AI,0,seed,
255083,2024-03-20,Ministry of Science & Technology,Technology Development Board -Department of Science & Technology provides M/s Peptris Technologies Pvt. Ltd. and Foundation for Neglected Disease Research (FNDR) with ?75 Lakhs Grant for Innovative Antibiotic Development Project,AI,0,seed,
255096,2024-03-21,Vice President's Secretariat,Text of the Vice-President's address to participants of the International Strategic Engagement Programme (IN-STEP),AI,0,seed,
255101,2024-03-21,Ministry of Communications,International Telecommunication Union elects India as co-chair of its Digital Innovation Board,AI,0,seed,
255189,2024-04-01,Prime Minister's Office,PM addresses RBI@90 opening ceremony,AI,0,seed,
255191,2024-04-01,Prime Minister's Office,English rendering of PM addressing opening ceremony of RBI@90 in Mumbai,AI,0,seed,
255356,2024-04-18,Ministry of Defence,AFMS & IIT Kanpur to collaborate on developing technologies to address health problems faced by soldiers in difficult terrains,AI,0,seed,
255377,2024-04-21,Ministry of Law & Justice,Ministry of Law and Justice organises Conference titled ‘India's Progressive Path in the Administration of Criminal Justice System’,AI,0,seed,
255394,2024-04-23,Ministry of Communications,"C-DOT and IIT, Jodhpur sign agreement for “Automated Service Management in Network of 5G and beyond Using AI”",AI,0,seed,
255401,2024-04-23,Vice President's Secretariat,Text of Vice President's address at 14th AIMA Managing India Awards Ceremony,AI,0,seed,
255408,2024-04-24,"Ministry of Personnel, Public Grievances & Pensions",Indian Delegation from Department of Administrative Reforms & Public Grievances (DARPG) participates in the 3rd Biennial Pan-Commonwealth Heads of Public Services/ Secretaries to Cabinet meeting in London,AI,0,seed,
255423,2024-04-25,"Ministry of Personnel, Public Grievances & Pensions",India’s Centralised Public Grievance Redress and Monitoring System (CPGRAMS) recognized as a best practice in Commonwealth Secretaries of public service/ secretaries to cabinet meeting outcome statement,AI,0,seed,
255500,2024-05-02,Ministry of Electronics & IT,Launch of Intelligent Transportation System (ITS) Technology/Product Booklet and ToT of Thermal Camera to Industry,AI,0,seed,
255527,2024-05-06,Election Commission,ECI directs responsible and ethical use of social media platforms by political parties and their representatives,AI,0,seed,
255564,2024-05-09,Ministry of Finance,Dr. Vivek Joshi chairs workshop on ‘State of Artificial Intelligence in Banks’ with representatives from 12 Public Sector Banks and other financial institutions under DFS,AI,0,seed,
255578,2024-05-10,Ministry of Defence,DRDO celebrates National Technology Day 2024 through lectures & orations in its labs & establishments,AI,0,seed,
255615,2024-05-14,Ministry of Science & Technology,"The 4th Technology Innovation in Cyber-Physical Systems (TIPS) workshop organised at the Indian Institute of Technology, Bombay",AI,0,seed,
255630,2024-05-15,Ministry of Communications,DoT unveils Stage-I Participants for “Sangam Initiative: A Leap Towards AI-Driven Infrastructure Transformation”,AI,0,seed,
255659,2024-05-17,Ministry of Steel,"Ministry of Steel organizes National Workshop on ""Forging Sustainability in the Steel Sector""",AI,0,seed,
255666,2024-05-17,Ministry of Communications,DoT commemorates World Telecom and Information Society 2024,AI,0,seed,
255700,2024-05-22,Ministry of Agriculture & Farmers Welfare,'Doordarshan': In the era of Artificial Intelligence,AI,0,seed,
255717,2024-05-23,Ministry of Communications,SIM-ply no more: DoT targets 6.80 lakh suspect connections for re-verification,AI,0,seed,
255719,2024-05-24,Ministry of Agriculture & Farmers Welfare,'Doordarshan': In the era of Artificial Intelligence,AI,0,seed,
255773,2024-05-28,Ministry of Commerce & Industry,Department of Commerce holds Chintan Shivir on FTA Strategy and SOP for Trade Negotiations,AI,0,seed,
255774,2024-05-28,Ministry of Science & Technology,Department of BioTechnology-Institute of Biotechnology Research and Innovation Council (DBT-iBRIC)-THSTI Organizes 2nd Translational Health Science and Technology Institute (THSTI) Advanced Course in Vaccinology (TiVaC),AI,0,seed,
255776,2024-05-28,Ministry of Science & Technology,"The Department of Science and Technology organised a two-day Climate Change Conclave at Indian Institute of Technology, Delhi",AI,0,seed,
255782,2024-05-28,Ministry of Health and Family Welfare,Union Health Secretary meets Google’s Chief Health Officer on the sidelines of World Health Assembly at Geneva,AI,0,seed,
255848,2024-06-03,Ministry of Communications,India participates in ITU’s WSIS+20 Forum High-Level Event and ‘AI for Good’ Global Summit,AI,0,seed,
255853,2024-06-04,"Ministry of Personnel, Public Grievances & Pensions","Department of Administrative reforms & Public Grievances (DARPG) Secretary presents “CPGRAMS: A Foundation for SMART Government” to the representatives of US Government, and key stakeholders at a meeting convened by IBM Centre for The Business of Government",AI,0,seed,
255866,2024-06-05,Ministry of Communications,DoT launches initiative to support MSMEs and Startups in Industry 4.0 transformation,AI,0,seed,
255878,2024-06-05,Ministry of Electronics & IT,UNESCO and MeitY organise National Stakeholder Workshop on Ethics of AI,AI,0,seed,
255880,2024-06-05,Ministry of Electronics & IT,STPI celebrates 33rd Foundation Day: Commemorates three decades of contributions towards building India's technological future,AI,0,seed,
255881,2024-06-05,Ministry of Communications,C-DOT wins UN’s WSIS 2024 PRIZE “Champion” Award for “Mobile – Enabled Disaster Resilience through Cell Broadcast Emergency Alerting” category at the World Summit on the Information Society (WSIS)+ 20 Forum High-Level Event held at Geneva,AI,0,seed,
255921,2024-06-07,Ministry of Commerce & Industry,The India Opportunity Showcased at the IPEF Clean Economy Investor Forum,AI,0,seed,
256042,2024-06-11,Ministry of Science & Technology,"Action plan for first 100 days to continue India's progress under the leadership of PM Shri Narendra Modi, says Dr. Jitendra Singh while assuming charge as the Union Minister of Science & Technology (Independent charge)",AI,0,seed,
256100,2024-06-13,"Ministry of Personnel, Public Grievances & Pensions","""Governance reforms to include digital empowerment of citizens”",AI,0,seed,
256112,2024-06-14,Ministry of Defence,DRDO Unveils the Power of AI,AI,0,seed,
256114,2024-06-14,Prime Minister's Office,Prime Minister’s meeting with President of France on the sidelines of the G7 Summit,AI,0,seed,
256130,2024-06-14,Prime Minister's Office,English translation of Prime Minister Shri Narendra Modi’s address at the Outreach Session of the G7 Summit,AI,0,seed,
256131,2024-06-14,Prime Minister's Office,"Prime Minister participates in the Outreach session on Artificial Intelligence and Energy, Africa and the Mediterranean at the G7 Summit",AI,0,seed,
